          50 ,          50
 -0.52653061E+001  0.94050715E+000  0.43616265E+000
 -0.52653061E+001  0.99199447E+000  0.43616265E+000
 -0.52653061E+001  0.10434818E+001  0.43616265E+000
 -0.52653061E+001  0.10949691E+001  0.43616265E+000
 -0.52653061E+001  0.11464564E+001  0.43616265E+000
 -0.52653061E+001  0.11979438E+001  0.43616265E+000
 -0.52653061E+001  0.12494311E+001  0.43616265E+000
 -0.52653061E+001  0.13009184E+001  0.43616266E+000
 -0.52653061E+001  0.13524057E+001  0.43616266E+000
 -0.52653061E+001  0.14038930E+001  0.43616266E+000
 -0.52653061E+001  0.14553804E+001  0.43616266E+000
 -0.52653061E+001  0.15068677E+001  0.43616267E+000
 -0.52653061E+001  0.15583550E+001  0.43616267E+000
 -0.52653061E+001  0.16098423E+001  0.43616267E+000
 -0.52653061E+001  0.16613296E+001  0.43616268E+000
 -0.52653061E+001  0.17128170E+001  0.43616269E+000
 -0.52653061E+001  0.17643043E+001  0.43616269E+000
 -0.52653061E+001  0.18157916E+001  0.43616270E+000
 -0.52653061E+001  0.18672789E+001  0.43616271E+000
 -0.52653061E+001  0.19187663E+001  0.43616273E+000
 -0.52653061E+001  0.19702536E+001  0.43616274E+000
 -0.52653061E+001  0.20217409E+001  0.43616276E+000
 -0.52653061E+001  0.20732282E+001  0.43616278E+000
 -0.52653061E+001  0.21247155E+001  0.43616281E+000
 -0.52653061E+001  0.21762029E+001  0.43616284E+000
 -0.52653061E+001  0.22276902E+001  0.43616288E+000
 -0.52653061E+001  0.22791775E+001  0.43616293E+000
 -0.52653061E+001  0.23306648E+001  0.43616299E+000
 -0.52653061E+001  0.23821521E+001  0.43616305E+000
 -0.52653061E+001  0.24336395E+001  0.43616313E+000
 -0.52653061E+001  0.24851268E+001  0.43616323E+000
 -0.52653061E+001  0.25366141E+001  0.43616334E+000
 -0.52653061E+001  0.25881014E+001  0.43616348E+000
 -0.52653061E+001  0.26395888E+001  0.43616364E+000
 -0.52653061E+001  0.26910761E+001  0.43616383E+000
 -0.52653061E+001  0.27425634E+001  0.43616406E+000
 -0.52653061E+001  0.27940507E+001  0.43616434E+000
 -0.52653061E+001  0.28455380E+001  0.43616467E+000
 -0.52653061E+001  0.28970254E+001  0.43616507E+000
 -0.52653061E+001  0.29485127E+001  0.43616554E+000
 -0.52653061E+001  0.30000000E+001  0.43616610E+000
 
 -0.48979592E+001  0.47712125E+000  0.43616265E+000
 -0.48979592E+001  0.52860858E+000  0.43616265E+000
 -0.48979592E+001  0.58009590E+000  0.43616265E+000
 -0.48979592E+001  0.63158322E+000  0.43616265E+000
 -0.48979592E+001  0.68307054E+000  0.43616265E+000
 -0.48979592E+001  0.73455786E+000  0.43616265E+000
 -0.48979592E+001  0.78604518E+000  0.43616265E+000
 -0.48979592E+001  0.83753250E+000  0.43616265E+000
 -0.48979592E+001  0.88901983E+000  0.43616265E+000
 -0.48979592E+001  0.94050715E+000  0.43616265E+000
 -0.48979592E+001  0.99199447E+000  0.43616265E+000
 -0.48979592E+001  0.10434818E+001  0.43616265E+000
 -0.48979592E+001  0.10949691E+001  0.43616266E+000
 -0.48979592E+001  0.11464564E+001  0.43616266E+000
 -0.48979592E+001  0.11979438E+001  0.43616266E+000
 -0.48979592E+001  0.12494311E+001  0.43616266E+000
 -0.48979592E+001  0.13009184E+001  0.43616267E+000
 -0.48979592E+001  0.13524057E+001  0.43616267E+000
 -0.48979592E+001  0.14038930E+001  0.43616268E+000
 -0.48979592E+001  0.14553804E+001  0.43616268E+000
 -0.48979592E+001  0.15068677E+001  0.43616269E+000
 -0.48979592E+001  0.15583550E+001  0.43616270E+000
 -0.48979592E+001  0.16098423E+001  0.43616271E+000
 -0.48979592E+001  0.16613296E+001  0.43616272E+000
 -0.48979592E+001  0.17128170E+001  0.43616274E+000
 -0.48979592E+001  0.17643043E+001  0.43616275E+000
 -0.48979592E+001  0.18157916E+001  0.43616278E+000
 -0.48979592E+001  0.18672789E+001  0.43616280E+000
 -0.48979592E+001  0.19187663E+001  0.43616283E+000
 -0.48979592E+001  0.19702536E+001  0.43616287E+000
 -0.48979592E+001  0.20217409E+001  0.43616292E+000
 -0.48979592E+001  0.20732282E+001  0.43616297E+000
 -0.48979592E+001  0.21247155E+001  0.43616303E+000
 -0.48979592E+001  0.21762029E+001  0.43616311E+000
 -0.48979592E+001  0.22276902E+001  0.43616320E+000
 -0.48979592E+001  0.22791775E+001  0.43616331E+000
 -0.48979592E+001  0.23306648E+001  0.43616344E+000
 -0.48979592E+001  0.23821521E+001  0.43616359E+000
 -0.48979592E+001  0.24336395E+001  0.43616378E+000
 -0.48979592E+001  0.24851268E+001  0.43616400E+000
 -0.48979592E+001  0.25366141E+001  0.43616426E+000
 -0.48979592E+001  0.25881014E+001  0.43616458E+000
 -0.48979592E+001  0.26395888E+001  0.43616496E+000
 -0.48979592E+001  0.26910761E+001  0.43616541E+000
 -0.48979592E+001  0.27425634E+001  0.43616595E+000
 -0.48979592E+001  0.27940507E+001  0.43616659E+000
 -0.48979592E+001  0.28455380E+001  0.43616736E+000
 -0.48979592E+001  0.28970254E+001  0.43616828E+000
 -0.48979592E+001  0.29485127E+001  0.43616938E+000
 -0.48979592E+001  0.30000000E+001  0.43617070E+000
 
 -0.45306122E+001  0.47712125E+000  0.43616265E+000
 -0.45306122E+001  0.52860858E+000  0.43616265E+000
 -0.45306122E+001  0.58009590E+000  0.43616265E+000
 -0.45306122E+001  0.63158322E+000  0.43616265E+000
 -0.45306122E+001  0.68307054E+000  0.43616265E+000
 -0.45306122E+001  0.73455786E+000  0.43616265E+000
 -0.45306122E+001  0.78604518E+000  0.43616265E+000
 -0.45306122E+001  0.83753250E+000  0.43616265E+000
 -0.45306122E+001  0.88901983E+000  0.43616265E+000
 -0.45306122E+001  0.94050715E+000  0.43616266E+000
 -0.45306122E+001  0.99199447E+000  0.43616266E+000
 -0.45306122E+001  0.10434818E+001  0.43616266E+000
 -0.45306122E+001  0.10949691E+001  0.43616267E+000
 -0.45306122E+001  0.11464564E+001  0.43616267E+000
 -0.45306122E+001  0.11979438E+001  0.43616268E+000
 -0.45306122E+001  0.12494311E+001  0.43616268E+000
 -0.45306122E+001  0.13009184E+001  0.43616269E+000
 -0.45306122E+001  0.13524057E+001  0.43616270E+000
 -0.45306122E+001  0.14038930E+001  0.43616272E+000
 -0.45306122E+001  0.14553804E+001  0.43616273E+000
 -0.45306122E+001  0.15068677E+001  0.43616275E+000
 -0.45306122E+001  0.15583550E+001  0.43616277E+000
 -0.45306122E+001  0.16098423E+001  0.43616279E+000
 -0.45306122E+001  0.16613296E+001  0.43616282E+000
 -0.45306122E+001  0.17128170E+001  0.43616286E+000
 -0.45306122E+001  0.17643043E+001  0.43616290E+000
 -0.45306122E+001  0.18157916E+001  0.43616295E+000
 -0.45306122E+001  0.18672789E+001  0.43616301E+000
 -0.45306122E+001  0.19187663E+001  0.43616308E+000
 -0.45306122E+001  0.19702536E+001  0.43616317E+000
 -0.45306122E+001  0.20217409E+001  0.43616327E+000
 -0.45306122E+001  0.20732282E+001  0.43616339E+000
 -0.45306122E+001  0.21247155E+001  0.43616354E+000
 -0.45306122E+001  0.21762029E+001  0.43616372E+000
 -0.45306122E+001  0.22276902E+001  0.43616393E+000
 -0.45306122E+001  0.22791775E+001  0.43616418E+000
 -0.45306122E+001  0.23306648E+001  0.43616449E+000
 -0.45306122E+001  0.23821521E+001  0.43616485E+000
 -0.45306122E+001  0.24336395E+001  0.43616528E+000
 -0.45306122E+001  0.24851268E+001  0.43616579E+000
 -0.45306122E+001  0.25366141E+001  0.43616641E+000
 -0.45306122E+001  0.25881014E+001  0.43616715E+000
 -0.45306122E+001  0.26395888E+001  0.43616803E+000
 -0.45306122E+001  0.26910761E+001  0.43616908E+000
 -0.45306122E+001  0.27425634E+001  0.43617034E+000
 -0.45306122E+001  0.27940507E+001  0.43617184E+000
 -0.45306122E+001  0.28455380E+001  0.43617363E+000
 -0.45306122E+001  0.28970254E+001  0.43617578E+000
 -0.45306122E+001  0.29485127E+001  0.43617834E+000
 -0.45306122E+001  0.30000000E+001  0.43618140E+000
 
 -0.41632653E+001  0.47712125E+000  0.43616265E+000
 -0.41632653E+001  0.52860858E+000  0.43616265E+000
 -0.41632653E+001  0.58009590E+000  0.43616265E+000
 -0.41632653E+001  0.63158322E+000  0.43616265E+000
 -0.41632653E+001  0.68307054E+000  0.43616265E+000
 -0.41632653E+001  0.73455786E+000  0.43616266E+000
 -0.41632653E+001  0.78604518E+000  0.43616266E+000
 -0.41632653E+001  0.83753250E+000  0.43616266E+000
 -0.41632653E+001  0.88901983E+000  0.43616267E+000
 -0.41632653E+001  0.94050715E+000  0.43616267E+000
 -0.41632653E+001  0.99199447E+000  0.43616268E+000
 -0.41632653E+001  0.10434818E+001  0.43616269E+000
 -0.41632653E+001  0.10949691E+001  0.43616269E+000
 -0.41632653E+001  0.11464564E+001  0.43616271E+000
 -0.41632653E+001  0.11979438E+001  0.43616272E+000
 -0.41632653E+001  0.12494311E+001  0.43616273E+000
 -0.41632653E+001  0.13009184E+001  0.43616275E+000
 -0.41632653E+001  0.13524057E+001  0.43616278E+000
 -0.41632653E+001  0.14038930E+001  0.43616280E+000
 -0.41632653E+001  0.14553804E+001  0.43616284E+000
 -0.41632653E+001  0.15068677E+001  0.43616288E+000
 -0.41632653E+001  0.15583550E+001  0.43616293E+000
 -0.41632653E+001  0.16098423E+001  0.43616298E+000
 -0.41632653E+001  0.16613296E+001  0.43616305E+000
 -0.41632653E+001  0.17128170E+001  0.43616313E+000
 -0.41632653E+001  0.17643043E+001  0.43616323E+000
 -0.41632653E+001  0.18157916E+001  0.43616335E+000
 -0.41632653E+001  0.18672789E+001  0.43616349E+000
 -0.41632653E+001  0.19187663E+001  0.43616366E+000
 -0.41632653E+001  0.19702536E+001  0.43616386E+000
 -0.41632653E+001  0.20217409E+001  0.43616410E+000
 -0.41632653E+001  0.20732282E+001  0.43616439E+000
 -0.41632653E+001  0.21247155E+001  0.43616473E+000
 -0.41632653E+001  0.21762029E+001  0.43616515E+000
 -0.41632653E+001  0.22276902E+001  0.43616564E+000
 -0.41632653E+001  0.22791775E+001  0.43616623E+000
 -0.41632653E+001  0.23306648E+001  0.43616693E+000
 -0.41632653E+001  0.23821521E+001  0.43616777E+000
 -0.41632653E+001  0.24336395E+001  0.43616878E+000
 -0.41632653E+001  0.24851268E+001  0.43616998E+000
 -0.41632653E+001  0.25366141E+001  0.43617142E+000
 -0.41632653E+001  0.25881014E+001  0.43617313E+000
 -0.41632653E+001  0.26395888E+001  0.43617518E+000
 -0.41632653E+001  0.26910761E+001  0.43617763E+000
 -0.41632653E+001  0.27425634E+001  0.43618056E+000
 -0.41632653E+001  0.27940507E+001  0.43618406E+000
 -0.41632653E+001  0.28455380E+001  0.43618824E+000
 -0.41632653E+001  0.28970254E+001  0.43619323E+000
 -0.41632653E+001  0.29485127E+001  0.43619919E+000
 -0.41632653E+001  0.30000000E+001  0.43620632E+000
 
 -0.37959184E+001  0.47712125E+000  0.43616265E+000
 -0.37959184E+001  0.52860858E+000  0.43616265E+000
 -0.37959184E+001  0.58009590E+000  0.43616265E+000
 -0.37959184E+001  0.63158322E+000  0.43616266E+000
 -0.37959184E+001  0.68307054E+000  0.43616266E+000
 -0.37959184E+001  0.73455786E+000  0.43616267E+000
 -0.37959184E+001  0.78604518E+000  0.43616267E+000
 -0.37959184E+001  0.83753250E+000  0.43616268E+000
 -0.37959184E+001  0.88901983E+000  0.43616269E+000
 -0.37959184E+001  0.94050715E+000  0.43616270E+000
 -0.37959184E+001  0.99199447E+000  0.43616272E+000
 -0.37959184E+001  0.10434818E+001  0.43616274E+000
 -0.37959184E+001  0.10949691E+001  0.43616276E+000
 -0.37959184E+001  0.11464564E+001  0.43616278E+000
 -0.37959184E+001  0.11979438E+001  0.43616281E+000
 -0.37959184E+001  0.12494311E+001  0.43616285E+000
 -0.37959184E+001  0.13009184E+001  0.43616290E+000
 -0.37959184E+001  0.13524057E+001  0.43616295E+000
 -0.37959184E+001  0.14038930E+001  0.43616301E+000
 -0.37959184E+001  0.14553804E+001  0.43616309E+000
 -0.37959184E+001  0.15068677E+001  0.43616318E+000
 -0.37959184E+001  0.15583550E+001  0.43616330E+000
 -0.37959184E+001  0.16098423E+001  0.43616343E+000
 -0.37959184E+001  0.16613296E+001  0.43616359E+000
 -0.37959184E+001  0.17128170E+001  0.43616378E+000
 -0.37959184E+001  0.17643043E+001  0.43616401E+000
 -0.37959184E+001  0.18157916E+001  0.43616428E+000
 -0.37959184E+001  0.18672789E+001  0.43616461E+000
 -0.37959184E+001  0.19187663E+001  0.43616501E+000
 -0.37959184E+001  0.19702536E+001  0.43616547E+000
 -0.37959184E+001  0.20217409E+001  0.43616604E+000
 -0.37959184E+001  0.20732282E+001  0.43616671E+000
 -0.37959184E+001  0.21247155E+001  0.43616751E+000
 -0.37959184E+001  0.21762029E+001  0.43616847E+000
 -0.37959184E+001  0.22276902E+001  0.43616962E+000
 -0.37959184E+001  0.22791775E+001  0.43617099E+000
 -0.37959184E+001  0.23306648E+001  0.43617263E+000
 -0.37959184E+001  0.23821521E+001  0.43617459E+000
 -0.37959184E+001  0.24336395E+001  0.43617693E+000
 -0.37959184E+001  0.24851268E+001  0.43617973E+000
 -0.37959184E+001  0.25366141E+001  0.43618308E+000
 -0.37959184E+001  0.25881014E+001  0.43618708E+000
 -0.37959184E+001  0.26395888E+001  0.43619185E+000
 -0.37959184E+001  0.26910761E+001  0.43619756E+000
 -0.37959184E+001  0.27425634E+001  0.43620438E+000
