          50 ,          50
 -0.48979592E+001  0.15068677E+001  0.48560675E-030
 -0.48979592E+001  0.15583550E+001  0.58614003E-030
 -0.48979592E+001  0.16098423E+001  0.70660724E-030
 -0.48979592E+001  0.16613296E+001  0.85091044E-030
 -0.48979592E+001  0.17128170E+001  0.10237125E-029
 -0.48979592E+001  0.17643043E+001  0.12305853E-029
 -0.48979592E+001  0.18157916E+001  0.14781866E-029
 -0.48979592E+001  0.18672789E+001  0.17744716E-029
 -0.48979592E+001  0.19187663E+001  0.21289454E-029
 -0.48979592E+001  0.19702536E+001  0.25529651E-029
 -0.48979592E+001  0.20217409E+001  0.30600999E-029
 -0.48979592E+001  0.20732282E+001  0.36665620E-029
 -0.48979592E+001  0.21247155E+001  0.43917211E-029
 -0.48979592E+001  0.21762029E+001  0.52587190E-029
 -0.48979592E+001  0.22276902E+001  0.62952042E-029
 -0.48979592E+001  0.22791775E+001  0.75342083E-029
 -0.48979592E+001  0.23306648E+001  0.90151949E-029
 -0.48979592E+001  0.23821521E+001  0.10785311E-028
 -0.48979592E+001  0.24336395E+001  0.12900882E-028
 -0.48979592E+001  0.24851268E+001  0.15429201E-028
 -0.48979592E+001  0.25366141E+001  0.18450658E-028
 -0.48979592E+001  0.25881014E+001  0.22061296E-028
 -0.48979592E+001  0.26395888E+001  0.26375851E-028
 -0.48979592E+001  0.26910761E+001  0.31531397E-028
 -0.48979592E+001  0.27425634E+001  0.37691687E-028
 -0.48979592E+001  0.27940507E+001  0.45052351E-028
 -0.48979592E+001  0.28455380E+001  0.53847097E-028
 -0.48979592E+001  0.28970254E+001  0.64355125E-028
 -0.48979592E+001  0.29485127E+001  0.76909978E-028
 -0.48979592E+001  0.30000000E+001  0.91910120E-028
 
 -0.45306122E+001  0.47712125E+000  0.13629345E-032
 -0.45306122E+001  0.52860858E+000  0.34686749E-032
 -0.45306122E+001  0.58009590E+000  0.60966379E-032
 -0.45306122E+001  0.63158322E+000  0.93553243E-032
 -0.45306122E+001  0.68307054E+000  0.13374771E-031
 -0.45306122E+001  0.73455786E+000  0.18310766E-031
 -0.45306122E+001  0.78604518E+000  0.24349893E-031
 -0.45306122E+001  0.83753250E+000  0.31715547E-031
 -0.45306122E+001  0.88901983E+000  0.40675132E-031
 -0.45306122E+001  0.94050715E+000  0.51548661E-031
 -0.45306122E+001  0.99199447E+000  0.64719025E-031
 -0.45306122E+001  0.10434818E+001  0.80644272E-031
 -0.45306122E+001  0.10949691E+001  0.99872267E-031
 -0.45306122E+001  0.11464564E+001  0.12305822E-030
 -0.45306122E+001  0.11979438E+001  0.15098561E-030
 -0.45306122E+001  0.12494311E+001  0.18459123E-030
 -0.45306122E+001  0.13009184E+001  0.22499501E-030
 -0.45306122E+001  0.13524057E+001  0.27353577E-030
 -0.45306122E+001  0.14038930E+001  0.33181386E-030
 -0.45306122E+001  0.14553804E+001  0.40174213E-030
 -0.45306122E+001  0.15068677E+001  0.48560675E-030
 -0.45306122E+001  0.15583550E+001  0.58614002E-030
 -0.45306122E+001  0.16098423E+001  0.70660723E-030
 -0.45306122E+001  0.16613296E+001  0.85091043E-030
 -0.45306122E+001  0.17128170E+001  0.10237125E-029
 -0.45306122E+001  0.17643043E+001  0.12305853E-029
 -0.45306122E+001  0.18157916E+001  0.14781866E-029
 -0.45306122E+001  0.18672789E+001  0.17744715E-029
 -0.45306122E+001  0.19187663E+001  0.21289454E-029
 -0.45306122E+001  0.19702536E+001  0.25529651E-029
 -0.45306122E+001  0.20217409E+001  0.30600998E-029
 -0.45306122E+001  0.20732282E+001  0.36665619E-029
 -0.45306122E+001  0.21247155E+001  0.43917210E-029
 -0.45306122E+001  0.21762029E+001  0.52587190E-029
 -0.45306122E+001  0.22276902E+001  0.62952041E-029
 -0.45306122E+001  0.22791775E+001  0.75342082E-029
 -0.45306122E+001  0.23306648E+001  0.90151947E-029
 -0.45306122E+001  0.23821521E+001  0.10785311E-028
 -0.45306122E+001  0.24336395E+001  0.12900882E-028
 -0.45306122E+001  0.24851268E+001  0.15429200E-028
 -0.45306122E+001  0.25366141E+001  0.18450658E-028
 -0.45306122E+001  0.25881014E+001  0.22061295E-028
 -0.45306122E+001  0.26395888E+001  0.26375850E-028
 -0.45306122E+001  0.26910761E+001  0.31531396E-028
 -0.45306122E+001  0.27425634E+001  0.37691686E-028
 -0.45306122E+001  0.27940507E+001  0.45052349E-028
 -0.45306122E+001  0.28455380E+001  0.53847095E-028
 -0.45306122E+001  0.28970254E+001  0.64355123E-028
 -0.45306122E+001  0.29485127E+001  0.76909975E-028
 -0.45306122E+001  0.30000000E+001  0.91910116E-028
 
 -0.41632653E+001  0.47712125E+000  0.13629345E-032
 -0.41632653E+001  0.52860858E+000  0.34686749E-032
 -0.41632653E+001  0.58009590E+000  0.60966379E-032
 -0.41632653E+001  0.63158322E+000  0.93553243E-032
 -0.41632653E+001  0.68307054E+000  0.13374771E-031
 -0.41632653E+001  0.73455786E+000  0.18310766E-031
 -0.41632653E+001  0.78604518E+000  0.24349893E-031
 -0.41632653E+001  0.83753250E+000  0.31715546E-031
 -0.41632653E+001  0.88901983E+000  0.40675132E-031
 -0.41632653E+001  0.94050715E+000  0.51548660E-031
 -0.41632653E+001  0.99199447E+000  0.64719025E-031
 -0.41632653E+001  0.10434818E+001  0.80644271E-031
 -0.41632653E+001  0.10949691E+001  0.99872266E-031
 -0.41632653E+001  0.11464564E+001  0.12305822E-030
 -0.41632653E+001  0.11979438E+001  0.15098561E-030
 -0.41632653E+001  0.12494311E+001  0.18459123E-030
 -0.41632653E+001  0.13009184E+001  0.22499500E-030
 -0.41632653E+001  0.13524057E+001  0.27353576E-030
 -0.41632653E+001  0.14038930E+001  0.33181386E-030
 -0.41632653E+001  0.14553804E+001  0.40174212E-030
 -0.41632653E+001  0.15068677E+001  0.48560674E-030
 -0.41632653E+001  0.15583550E+001  0.58614001E-030
 -0.41632653E+001  0.16098423E+001  0.70660722E-030
 -0.41632653E+001  0.16613296E+001  0.85091042E-030
 -0.41632653E+001  0.17128170E+001  0.10237125E-029
 -0.41632653E+001  0.17643043E+001  0.12305853E-029
 -0.41632653E+001  0.18157916E+001  0.14781865E-029
 -0.41632653E+001  0.18672789E+001  0.17744715E-029
 -0.41632653E+001  0.19187663E+001  0.21289453E-029
 -0.41632653E+001  0.19702536E+001  0.25529650E-029
 -0.41632653E+001  0.20217409E+001  0.30600997E-029
 -0.41632653E+001  0.20732282E+001  0.36665618E-029
 -0.41632653E+001  0.21247155E+001  0.43917209E-029
 -0.41632653E+001  0.21762029E+001  0.52587188E-029
 -0.41632653E+001  0.22276902E+001  0.62952038E-029
 -0.41632653E+001  0.22791775E+001  0.75342079E-029
 -0.41632653E+001  0.23306648E+001  0.90151944E-029
 -0.41632653E+001  0.23821521E+001  0.10785310E-028
 -0.41632653E+001  0.24336395E+001  0.12900881E-028
 -0.41632653E+001  0.24851268E+001  0.15429200E-028
 -0.41632653E+001  0.25366141E+001  0.18450657E-028
 -0.41632653E+001  0.25881014E+001  0.22061294E-028
 -0.41632653E+001  0.26395888E+001  0.26375849E-028
 -0.41632653E+001  0.26910761E+001  0.31531394E-028
 -0.41632653E+001  0.27425634E+001  0.37691683E-028
 -0.41632653E+001  0.27940507E+001  0.45052346E-028
 -0.41632653E+001  0.28455380E+001  0.53847091E-028
 -0.41632653E+001  0.28970254E+001  0.64355118E-028
 -0.41632653E+001  0.29485127E+001  0.76909968E-028
 -0.41632653E+001  0.30000000E+001  0.91910108E-028
 
 -0.37959184E+001  0.47712125E+000  0.13629345E-032
 -0.37959184E+001  0.52860858E+000  0.34686748E-032
 -0.37959184E+001  0.58009590E+000  0.60966378E-032
 -0.37959184E+001  0.63158322E+000  0.93553241E-032
 -0.37959184E+001  0.68307054E+000  0.13374770E-031
 -0.37959184E+001  0.73455786E+000  0.18310766E-031
 -0.37959184E+001  0.78604518E+000  0.24349893E-031
 -0.37959184E+001  0.83753250E+000  0.31715546E-031
 -0.37959184E+001  0.88901983E+000  0.40675131E-031
 -0.37959184E+001  0.94050715E+000  0.51548660E-031
 -0.37959184E+001  0.99199447E+000  0.64719024E-031
 -0.37959184E+001  0.10434818E+001  0.80644270E-031
 -0.37959184E+001  0.10949691E+001  0.99872264E-031
 -0.37959184E+001  0.11464564E+001  0.12305822E-030
 -0.37959184E+001  0.11979438E+001  0.15098561E-030
 -0.37959184E+001  0.12494311E+001  0.18459122E-030
 -0.37959184E+001  0.13009184E+001  0.22499500E-030
 -0.37959184E+001  0.13524057E+001  0.27353576E-030
 -0.37959184E+001  0.14038930E+001  0.33181385E-030
 -0.37959184E+001  0.14553804E+001  0.40174211E-030
 -0.37959184E+001  0.15068677E+001  0.48560672E-030
 -0.37959184E+001  0.15583550E+001  0.58613999E-030
 -0.37959184E+001  0.16098423E+001  0.70660719E-030
 -0.37959184E+001  0.16613296E+001  0.85091038E-030
 -0.37959184E+001  0.17128170E+001  0.10237124E-029
 -0.37959184E+001  0.17643043E+001  0.12305852E-029
 -0.37959184E+001  0.18157916E+001  0.14781865E-029
 -0.37959184E+001  0.18672789E+001  0.17744714E-029
 -0.37959184E+001  0.19187663E+001  0.21289452E-029
 -0.37959184E+001  0.19702536E+001  0.25529648E-029
 -0.37959184E+001  0.20217409E+001  0.30600995E-029
 -0.37959184E+001  0.20732282E+001  0.36665615E-029
 -0.37959184E+001  0.21247155E+001  0.43917205E-029
 -0.37959184E+001  0.21762029E+001  0.52587184E-029
 -0.37959184E+001  0.22276902E+001  0.62952033E-029
 -0.37959184E+001  0.22791775E+001  0.75342072E-029
 -0.37959184E+001  0.23306648E+001  0.90151935E-029
 -0.37959184E+001  0.23821521E+001  0.10785309E-028
 -0.37959184E+001  0.24336395E+001  0.12900880E-028
 -0.37959184E+001  0.24851268E+001  0.15429198E-028
 -0.37959184E+001  0.25366141E+001  0.18450654E-028
 -0.37959184E+001  0.25881014E+001  0.22061291E-028
 -0.37959184E+001  0.26395888E+001  0.26375845E-028
 -0.37959184E+001  0.26910761E+001  0.31531389E-028
 -0.37959184E+001  0.27425634E+001  0.37691677E-028
 -0.37959184E+001  0.27940507E+001  0.45052339E-028
 -0.37959184E+001  0.28455380E+001  0.53847082E-028
 -0.37959184E+001  0.28970254E+001  0.64355106E-028
 -0.37959184E+001  0.29485127E+001  0.76909953E-028
 -0.37959184E+001  0.30000000E+001  0.91910089E-028
 
 -0.34285714E+001  0.47712125E+000  0.13629344E-032
 -0.34285714E+001  0.52860858E+000  0.34686747E-032
 -0.34285714E+001  0.58009590E+000  0.60966376E-032
 -0.34285714E+001  0.63158322E+000  0.93553238E-032
 -0.34285714E+001  0.68307054E+000  0.13374770E-031
 -0.34285714E+001  0.73455786E+000  0.18310765E-031
 -0.34285714E+001  0.78604518E+000  0.24349892E-031
 -0.34285714E+001  0.83753250E+000  0.31715545E-031
 -0.34285714E+001  0.88901983E+000  0.40675129E-031
 -0.34285714E+001  0.94050715E+000  0.51548657E-031
 -0.34285714E+001  0.99199447E+000  0.64719020E-031
 -0.34285714E+001  0.10434818E+001  0.80644265E-031
 -0.34285714E+001  0.10949691E+001  0.99872258E-031
 -0.34285714E+001  0.11464564E+001  0.12305821E-030
 -0.34285714E+001  0.11979438E+001  0.15098560E-030
 -0.34285714E+001  0.12494311E+001  0.18459121E-030
 -0.34285714E+001  0.13009184E+001  0.22499498E-030
 -0.34285714E+001  0.13524057E+001  0.27353574E-030
 -0.34285714E+001  0.14038930E+001  0.33181382E-030
 -0.34285714E+001  0.14553804E+001  0.40174207E-030
 -0.34285714E+001  0.15068677E+001  0.48560668E-030
 -0.34285714E+001  0.15583550E+001  0.58613994E-030
 -0.34285714E+001  0.16098423E+001  0.70660712E-030
 -0.34285714E+001  0.16613296E+001  0.85091029E-030
 -0.34285714E+001  0.17128170E+001  0.10237123E-029
 -0.34285714E+001  0.17643043E+001  0.12305851E-029
 -0.34285714E+001  0.18157916E+001  0.14781863E-029
 -0.34285714E+001  0.18672789E+001  0.17744712E-029
 -0.34285714E+001  0.19187663E+001  0.21289449E-029
 -0.34285714E+001  0.19702536E+001  0.25529645E-029
 -0.34285714E+001  0.20217409E+001  0.30600991E-029
 -0.34285714E+001  0.20732282E+001  0.36665609E-029
 -0.34285714E+001  0.21247155E+001  0.43917198E-029
 -0.34285714E+001  0.21762029E+001  0.52587174E-029
 -0.34285714E+001  0.22276902E+001  0.62952021E-029
 -0.34285714E+001  0.22791775E+001  0.75342056E-029
 -0.34285714E+001  0.23306648E+001  0.90151915E-029
 -0.34285714E+001  0.23821521E+001  0.10785307E-028
 -0.34285714E+001  0.24336395E+001  0.12900877E-028
 -0.34285714E+001  0.24851268E+001  0.15429194E-028
 -0.34285714E+001  0.25366141E+001  0.18450649E-028
 -0.34285714E+001  0.25881014E+001  0.22061284E-028
 -0.34285714E+001  0.26395888E+001  0.26375837E-028
 -0.34285714E+001  0.26910761E+001  0.31531379E-028
 -0.34285714E+001  0.27425634E+001  0.37691664E-028
 -0.34285714E+001  0.27940507E+001  0.45052322E-028
 -0.34285714E+001  0.28455380E+001  0.53847060E-028
 -0.34285714E+001  0.28970254E+001  0.64355079E-028
 -0.34285714E+001  0.29485127E+001  0.76909919E-028
 -0.34285714E+001  0.30000000E+001  0.91910045E-028
 
 -0.30612245E+001  0.47712125E+000  0.13629343E-032
 -0.30612245E+001  0.52860858E+000  0.34686745E-032
 -0.30612245E+001  0.58009590E+000  0.60966372E-032
 -0.30612245E+001  0.63158322E+000  0.93553231E-032
 -0.30612245E+001  0.68307054E+000  0.13374769E-031
 -0.30612245E+001  0.73455786E+000  0.18310764E-031
 -0.30612245E+001  0.78604518E+000  0.24349890E-031
 -0.30612245E+001  0.83753250E+000  0.31715542E-031
 -0.30612245E+001  0.88901983E+000  0.40675125E-031
 -0.30612245E+001  0.94050715E+000  0.51548652E-031
 -0.30612245E+001  0.99199447E+000  0.64719013E-031
 -0.30612245E+001  0.10434818E+001  0.80644256E-031
 -0.30612245E+001  0.10949691E+001  0.99872246E-031
 -0.30612245E+001  0.11464564E+001  0.12305819E-030
 -0.30612245E+001  0.11979438E+001  0.15098558E-030
 -0.30612245E+001  0.12494311E+001  0.18459118E-030
 -0.30612245E+001  0.13009184E+001  0.22499495E-030
 -0.30612245E+001  0.13524057E+001  0.27353569E-030
 -0.30612245E+001  0.14038930E+001  0.33181376E-030
 -0.30612245E+001  0.14553804E+001  0.40174200E-030
 -0.30612245E+001  0.15068677E+001  0.48560658E-030
 -0.30612245E+001  0.15583550E+001  0.58613981E-030
 -0.30612245E+001  0.16098423E+001  0.70660696E-030
 -0.30612245E+001  0.16613296E+001  0.85091009E-030
 -0.30612245E+001  0.17128170E+001  0.10237121E-029
 -0.30612245E+001  0.17643043E+001  0.12305847E-029
 -0.30612245E+001  0.18157916E+001  0.14781859E-029
 -0.30612245E+001  0.18672789E+001  0.17744706E-029
 -0.30612245E+001  0.19187663E+001  0.21289442E-029
 -0.30612245E+001  0.19702536E+001  0.25529636E-029
 -0.30612245E+001  0.20217409E+001  0.30600979E-029
 -0.30612245E+001  0.20732282E+001  0.36665595E-029
 -0.30612245E+001  0.21247155E+001  0.43917180E-029
 -0.30612245E+001  0.21762029E+001  0.52587151E-029
 -0.30612245E+001  0.22276902E+001  0.62951992E-029
 -0.30612245E+001  0.22791775E+001  0.75342019E-029
 -0.30612245E+001  0.23306648E+001  0.90151868E-029
 -0.30612245E+001  0.23821521E+001  0.10785301E-028
 -0.30612245E+001  0.24336395E+001  0.12900869E-028
 -0.30612245E+001  0.24851268E+001  0.15429184E-028
 -0.30612245E+001  0.25366141E+001  0.18450637E-028
 -0.30612245E+001  0.25881014E+001  0.22061269E-028
 -0.30612245E+001  0.26395888E+001  0.26375817E-028
 -0.30612245E+001  0.26910761E+001  0.31531354E-028
 -0.30612245E+001  0.27425634E+001  0.37691633E-028
 -0.30612245E+001  0.27940507E+001  0.45052282E-028
 -0.30612245E+001  0.28455380E+001  0.53847010E-028
