time Tgas rhogas E H- H HE H2 H+ HE+ H2+ HE++
  0.94608000E+007  0.14000000E+004  0.10000000E-012  0.23820656E-013  0.19633921E-016  0.68866538E+000  0.31100000E+000  0.33461737E-003  0.38958440E-010  0.19121782E-010  0.12354376E-017  0.29669872E-075
  0.12614400E+008  0.14000000E+004  0.10000000E-012  0.31760063E-013  0.26177892E-016  0.68855396E+000  0.31100000E+000  0.44603961E-003  0.51943262E-010  0.25495012E-010  0.16481148E-017  0.72923582E-075
  0.15768000E+008  0.14000000E+004  0.10000000E-012  0.39699148E-013  0.32721597E-016  0.68844257E+000  0.31100000E+000  0.55743172E-003  0.64927557E-010  0.31867973E-010  0.20610595E-017  0.12896353E-074
  0.18921600E+008  0.14000000E+004  0.10000000E-012  0.47637328E-013  0.39264557E-016  0.68833124E+000  0.31100000E+000  0.66876226E-003  0.77910376E-010  0.38240201E-010  0.24745255E-017  0.22014788E-074
  0.22075200E+008  0.14000000E+004  0.10000000E-012  0.55574809E-013  0.45806941E-016  0.68821995E+000  0.31100000E+000  0.78004977E-003  0.90892053E-010  0.44611863E-010  0.28882494E-017  0.33837485E-074
  0.25228800E+008  0.14000000E+004  0.10000000E-012  0.63510716E-013  0.52348027E-016  0.68810874E+000  0.31100000E+000  0.89126230E-003  0.10387115E-009  0.50982267E-010  0.33025130E-017  0.51690394E-074
  0.28382400E+008  0.14000000E+004  0.10000000E-012  0.71446226E-013  0.58888786E-016  0.68799754E+000  0.31100000E+000  0.10024559E-002  0.11684961E-009  0.57352353E-010  0.37169211E-017  0.71062499E-074
  0.31536000E+008  0.14000000E+004  0.10000000E-012  0.79380424E-013  0.65428464E-016  0.68788640E+000  0.31100000E+000  0.11135974E-002  0.12982591E-009  0.63721398E-010  0.41318169E-017  0.95429935E-074
 
  0.00000000E+000  0.16000000E+004  0.10000000E-012  0.00000000E+000  0.00000000E+000  0.68900000E+000  0.31100000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  0.31536000E+007  0.16000000E+004  0.10000000E-012  0.79404029E-014  0.75462431E-017  0.68889331E+000  0.31100000E+000  0.10668638E-003  0.12986436E-010  0.63741082E-011  0.52977918E-018  0.13718481E-076
  0.63072000E+007  0.16000000E+004  0.10000000E-012  0.15880714E-013  0.15092400E-016  0.68878668E+000  0.31100000E+000  0.21332381E-003  0.25972725E-010  0.12748113E-010  0.10622944E-017  0.81158713E-076
  0.94608000E+007  0.16000000E+004  0.10000000E-012  0.23820769E-013  0.22638312E-016  0.68868009E+000  0.31100000E+000  0.31991261E-003  0.38958600E-010  0.19121887E-010  0.15976677E-017  0.26833691E-075
  0.12614400E+008  0.16000000E+004  0.10000000E-012  0.31760413E-013  0.30183835E-016  0.68857355E+000  0.31100000E+000  0.42645293E-003  0.51943808E-010  0.25495314E-010  0.21358663E-017  0.63647617E-075
  0.15768000E+008  0.16000000E+004  0.10000000E-012  0.39699584E-013  0.37728909E-016  0.68846705E+000  0.31100000E+000  0.53295157E-003  0.64928247E-010  0.31868349E-010  0.26765514E-017  0.12082975E-074
  0.18921600E+008  0.16000000E+004  0.10000000E-012  0.47638103E-013  0.45273363E-016  0.68836060E+000  0.31100000E+000  0.63940394E-003  0.77911619E-010  0.38240851E-010  0.32201060E-017  0.20577938E-074
  0.22075200E+008  0.16000000E+004  0.10000000E-012  0.55575944E-013  0.52817174E-016  0.68825418E+000  0.31100000E+000  0.74581629E-003  0.90893886E-010  0.44612806E-010  0.37661836E-017  0.31924624E-074
  0.25228800E+008  0.16000000E+004  0.10000000E-012  0.63512768E-013  0.60360019E-016  0.68814782E+000  0.31100000E+000  0.85217775E-003  0.10387449E-009  0.50983943E-010  0.43152041E-017  0.47529869E-074
  0.28382400E+008  0.16000000E+004  0.10000000E-012  0.71448532E-013  0.67901855E-016  0.68804151E+000  0.31100000E+000  0.95849325E-003  0.11685336E-009  0.57354235E-010  0.48668384E-017  0.67548918E-074
  0.31536000E+008  0.16000000E+004  0.10000000E-012  0.79383131E-013  0.75442586E-016  0.68793524E+000  0.31100000E+000  0.10647640E-002  0.12983032E-009  0.63723600E-010  0.54211671E-017  0.92397968E-074
 
  0.00000000E+000  0.18000000E+004  0.10000000E-012  0.00000000E+000  0.00000000E+000  0.68900000E+000  0.31100000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  0.31536000E+007  0.18000000E+004  0.10000000E-012  0.79404135E-014  0.85008867E-017  0.68889745E+000  0.31100000E+000  0.10255450E-003  0.12986447E-010  0.63741171E-011  0.66347430E-018  0.98256881E-077
  0.63072000E+007  0.18000000E+004  0.10000000E-012  0.15880747E-013  0.17001694E-016  0.68879493E+000  0.31100000E+000  0.20506765E-003  0.25972771E-010  0.12748143E-010  0.13388236E-017  0.70613091E-076
  0.94608000E+007  0.18000000E+004  0.10000000E-012  0.23820868E-013  0.25502282E-016  0.68869246E+000  0.31100000E+000  0.30753883E-003  0.38958755E-010  0.19121977E-010  0.20258984E-017  0.23927080E-075
  0.12614400E+008  0.18000000E+004  0.10000000E-012  0.31760659E-013  0.34002523E-016  0.68859003E+000  0.31100000E+000  0.40996894E-003  0.51944202E-010  0.25495527E-010  0.27248136E-017  0.56661574E-075
  0.15768000E+008  0.18000000E+004  0.10000000E-012  0.39699996E-013  0.42502285E-016  0.68848764E+000  0.31100000E+000  0.51235792E-003  0.64928911E-010  0.31868699E-010  0.34355640E-017  0.11057564E-074
  0.18921600E+008  0.18000000E+004  0.10000000E-012  0.47638754E-013  0.51001434E-016  0.68838529E+000  0.31100000E+000  0.61470559E-003  0.77912675E-010  0.38241397E-010  0.41581689E-017  0.19112315E-074
  0.22075200E+008  0.18000000E+004  0.10000000E-012  0.55576805E-013  0.59499834E-016  0.68828299E+000  0.31100000E+000  0.71701182E-003  0.90895285E-010  0.44613523E-010  0.48926617E-017  0.30379972E-074
  0.25228800E+008  0.18000000E+004  0.10000000E-012  0.63514003E-013  0.67997328E-016  0.68818072E+000  0.31100000E+000  0.81927579E-003  0.10387650E-009  0.50984963E-010  0.56395499E-017  0.45501139E-074
  0.28382400E+008  0.18000000E+004  0.10000000E-012  0.71450241E-013  0.76493800E-016  0.68807850E+000  0.31100000E+000  0.92149835E-003  0.11685614E-009  0.57355635E-010  0.63977228E-017  0.64934761E-074
  0.31536000E+008  0.18000000E+004  0.10000000E-012  0.79385409E-013  0.84989134E-016  0.68797632E+000  0.31100000E+000  0.10236800E-002  0.12983404E-009  0.63725456E-010  0.71673844E-017  0.89155170E-074
 
  0.00000000E+000  0.20000000E+004  0.10000000E-012  0.00000000E+000  0.00000000E+000  0.68900000E+000  0.31100000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
