#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), cooling (erg/cm3/s) 
         30 ,          30
 -0.47586207E+001  0.31724138E+001 -0.37190962E+002
 -0.47586207E+001  0.34137931E+001 -0.36827525E+002
 -0.47586207E+001  0.36551724E+001 -0.36464674E+002
 -0.47586207E+001  0.38965517E+001 -0.36102157E+002
 -0.47586207E+001  0.41379310E+001 -0.35739831E+002
 -0.47586207E+001  0.43793103E+001 -0.35377615E+002
 -0.47586207E+001  0.46206897E+001 -0.35015461E+002
 -0.47586207E+001  0.48620690E+001 -0.34653344E+002
 -0.47586207E+001  0.51034483E+001 -0.34291247E+002
 -0.47586207E+001  0.53448276E+001 -0.33929162E+002
 -0.47586207E+001  0.55862069E+001 -0.33567084E+002
 -0.47586207E+001  0.58275862E+001 -0.33205010E+002
 -0.47586207E+001  0.60689655E+001 -0.32842938E+002
 -0.47586207E+001  0.63103448E+001 -0.32480867E+002
 -0.47586207E+001  0.65517241E+001 -0.32118797E+002
 -0.47586207E+001  0.67931034E+001 -0.31756728E+002
 -0.47586207E+001  0.70344828E+001 -0.31394658E+002
 -0.47586207E+001  0.72758621E+001 -0.31032589E+002
 -0.47586207E+001  0.75172414E+001 -0.30670520E+002
 -0.47586207E+001  0.77586207E+001 -0.30308451E+002
 -0.47586207E+001  0.80000000E+001 -0.29946382E+002
 
 -0.43448276E+001  0.10000000E+001 -0.40000000E+002
 -0.43448276E+001  0.12413793E+001 -0.39684306E+002
 -0.43448276E+001  0.14827586E+001 -0.39088007E+002
 -0.43448276E+001  0.17241379E+001 -0.38632825E+002
 -0.43448276E+001  0.19655172E+001 -0.38225162E+002
 -0.43448276E+001  0.22068966E+001 -0.37838949E+002
 -0.43448276E+001  0.24482759E+001 -0.37463613E+002
 -0.43448276E+001  0.26896552E+001 -0.37094114E+002
 -0.43448276E+001  0.29310345E+001 -0.36727839E+002
 -0.43448276E+001  0.31724138E+001 -0.36363376E+002
 -0.43448276E+001  0.34137931E+001 -0.35999939E+002
 -0.43448276E+001  0.36551724E+001 -0.35637088E+002
 -0.43448276E+001  0.38965517E+001 -0.35274571E+002
 -0.43448276E+001  0.41379310E+001 -0.34912245E+002
 -0.43448276E+001  0.43793103E+001 -0.34550028E+002
 -0.43448276E+001  0.46206897E+001 -0.34187875E+002
 -0.43448276E+001  0.48620690E+001 -0.33825758E+002
 -0.43448276E+001  0.51034483E+001 -0.33463661E+002
 -0.43448276E+001  0.53448276E+001 -0.33101576E+002
 -0.43448276E+001  0.55862069E+001 -0.32739498E+002
 -0.43448276E+001  0.58275862E+001 -0.32377424E+002
 -0.43448276E+001  0.60689655E+001 -0.32015352E+002
 -0.43448276E+001  0.63103448E+001 -0.31653281E+002
 -0.43448276E+001  0.65517241E+001 -0.31291211E+002
 -0.43448276E+001  0.67931034E+001 -0.30929142E+002
 -0.43448276E+001  0.70344828E+001 -0.30567072E+002
 -0.43448276E+001  0.72758621E+001 -0.30205003E+002
 -0.43448276E+001  0.75172414E+001 -0.29842934E+002
 -0.43448276E+001  0.77586207E+001 -0.29480865E+002
 -0.43448276E+001  0.80000000E+001 -0.29118796E+002
 
 -0.39310345E+001  0.10000000E+001 -0.40000000E+002
 -0.39310345E+001  0.12413793E+001 -0.38856720E+002
 -0.39310345E+001  0.14827586E+001 -0.38260421E+002
 -0.39310345E+001  0.17241379E+001 -0.37805239E+002
