#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             14              6          SiVII      1655590.0   2.365490e+06   2.052617e+02              2
             14              7         SiVIII      1988000.0   2.840435e+06   2.464742e+02              2
             14              8           SiIX      2448200.0   3.497964e+06   3.035303e+02              2
             14              9            SiX      2832000.0   4.046333e+06   3.511142e+02              2
             14             10           SiXI      3237300.0   4.625422e+06   4.013637e+02              2
             14             11          SiXII      3842100.0   5.489554e+06   4.763474e+02              2
             14             12         SiXIII      4221670.0   6.031880e+06   5.234069e+02              2
             14             13          SiXIV     19660800.0   2.809115e+07   2.437566e+03              1
             14             14           SiXV     21560658.0   3.080565e+07   2.673112e+03              1
             15              1            PII       84580.83   1.208482e+05   1.048642e+01              3
             15              2           PIII       159451.5   2.278227e+05   1.976896e+01              3
             15              3            PIV       243600.7   3.480542e+05   3.020186e+01              3
             15              4             PV       414922.8   5.928375e+05   5.144254e+01              3
             15              5            PVI       524462.9   7.493473e+05   6.502343e+01              3
             15              6           PVII      1777820.0   2.540131e+06   2.204159e+02              2
             15              7          PVIII      2125800.0   3.037322e+06   2.635588e+02              2
             15              8            PIX      2497100.0   3.567832e+06   3.095930e+02              2
             15              9             PX      3001400.0   4.288370e+06   3.721166e+02              2
             15             10            PXI      3423200.0   4.891034e+06   4.244118e+02              2
             15             11           PXII      3867100.0   5.525274e+06   4.794469e+02              2
             15             12          PXIII      4523000.0   6.462417e+06   5.607661e+02              2
             15             13           PXIV      4934000.0   7.049650e+06   6.117223e+02              2
             15             14            PXV     22719920.0   3.246199e+07   2.816838e+03              1
             15             15           PXVI     24759942.5   3.537676e+07   3.069762e+03              1
             16              1            SII        83559.1   1.193884e+05   1.035974e+01              3
             16              2           SIII       188232.7   2.689450e+05   2.333728e+01              3
             16              3            SIV       280600.0   4.009185e+05   3.478907e+01              3
             16              4             SV       380870.0   5.441832e+05   4.722064e+01              3
             16              5            SVI       585514.1   8.365767e+05   7.259262e+01              3
             16              6           SVII       710194.7   1.014719e+06   8.805065e+01              3
             16              7          SVIII      2266000.0   3.237638e+06   2.809409e+02              2
             16              8            SIX      2651500.0   3.788437e+06   3.287356e+02              2
             16              9             SX      3061300.0   4.373955e+06   3.795430e+02              2
             16             10            SXI      3609000.0   5.156503e+06   4.474474e+02              2
             16             11           SXII      4071300.0   5.817033e+06   5.047638e+02              2
             16             12          SXIII      4552500.0   6.504566e+06   5.644235e+02              2
             16             13           SXIV      5260000.0   7.515435e+06   6.521401e+02              2
             16             14            SXV      5702400.0   8.147532e+06   7.069893e+02              2
             16             15           SXVI     26001513.0   3.715070e+07   3.223694e+03              1
             16             16          SXVII     28182526.0   4.026691e+07   3.494098e+03              1
             17              1           ClII       104591.0   1.494386e+05   1.296730e+01              3
             17              2          ClIII       192070.0   2.744277e+05   2.381303e+01              3
             17              3           ClIV       319500.0   4.564984e+05   3.961193e+01              3
             17              4            ClV       431226.0   6.161314e+05   5.346383e+01              3
             17              5           ClVI       547000.0   7.815481e+05   6.781761e+01              3
             17              6          ClVII       782600.0   1.118171e+06   9.702753e+01              3
             17              7         ClVIII       921093.0   1.316048e+06   1.141980e+02              3
             17              8           ClIX      2809100.0   4.013614e+06   3.482750e+02              2
             17              9            ClX      3232700.0   4.618849e+06   4.007934e+02              2
             17             10           ClXI      3674900.0   5.250660e+06   4.556178e+02              2
             17             11          ClXII      4268900.0   6.099362e+06   5.292625e+02              2
             17             12         ClXIII      4774000.0   6.821043e+06   5.918853e+02              2
             17             13          ClXIV      5293800.0   7.563729e+06   6.563306e+02              2
