#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             29              2          CuIII       163669.2   2.338489e+05   2.029187e+01              3
             29              3           CuIV       297140.0   4.245507e+05   3.683971e+01              3
             29              4            CuV       462800.0   6.612440e+05   5.737841e+01              3
             29              5           CuVI       644000.0   9.201408e+05   7.984376e+01              3
             29              6          CuVII       831000.0   1.187324e+06   1.030282e+02              3
             29              7         CuVIII      1120000.0   1.600245e+06   1.388587e+02              3
             29              8           CuIX      1339000.0   1.913150e+06   1.660106e+02              3
             29              9            CuX      1605000.0   2.293208e+06   1.989895e+02              3
             29             10           CuXI      1871000.0   2.673266e+06   2.319685e+02              3
             29             11          CuXII      2146000.0   3.066183e+06   2.660632e+02              3
             29             12         CuXIII      2975000.0   4.250650e+06   3.688435e+02              3
             29             13          CuXIV      3234000.0   4.620707e+06   4.009546e+02              3
             29             14           CuXV      3508000.0   5.012195e+06   4.349253e+02              3
             29             15          CuXVI      3903000.0   5.576567e+06   4.838978e+02              3
             29             16         CuXVII      4194000.0   5.992345e+06   5.199763e+02              3
             29             17        CuXVIII      4493000.0   6.419553e+06   5.570466e+02              3
             29             18          CuXIX      5105000.0   7.293973e+06   6.329230e+02              3
             29             19           CuXX      5409000.0   7.728325e+06   6.706132e+02              3
             29             20          CuXXI     13628000.0   1.947155e+07   1.689613e+03              2
             29             21         CuXXII     14550000.0   2.078889e+07   1.803924e+03              2
             29             22        CuXXIII     15450000.0   2.207481e+07   1.915506e+03              2
             29             23         CuXXIV     16620000.0   2.374649e+07   2.060564e+03              2
             29             24          CuXXV     17600000.0   2.514670e+07   2.182066e+03              2
             29             25         CuXXVI     18620000.0   2.660407e+07   2.308526e+03              2
             29             26        CuXXVII     19986000.0   2.855580e+07   2.477884e+03              2
             29             27       CuXXVIII     20870000.0   2.981885e+07   2.587483e+03              2
             29             28         CuXXIX     89223500.0   1.274816e+08   1.106202e+04              1
             29             29          CuXXX     93297700.0   1.333028e+08   1.156714e+04              1
             30              1           ZnII       75769.33   1.082585e+05   9.393957e+00              4
             30              2          ZnIII       144892.6   2.070211e+05   1.796393e+01              4
             30              3           ZnIV       320390.0   4.577700e+05   3.972227e+01              3
             30              4            ZnV       480490.0   6.865193e+05   5.957163e+01              3
             30              5           ZnVI       660000.0   9.430014e+05   8.182746e+01              3
             30              6          ZnVII       871000.0   1.244476e+06   1.079875e+02              3
             30              7         ZnVIII      1081000.0   1.544522e+06   1.340235e+02              3
             30              8           ZnIX      1403000.0   2.004592e+06   1.739453e+02              3
             30              9            ZnX      1637000.0   2.338929e+06   2.029569e+02              3
             30             10           ZnXI      1920000.0   2.743277e+06   2.380435e+02              3
             30             11          ZnXII      2210000.0   3.157626e+06   2.739980e+02              3
             30             12         ZnXIII      2507000.0   3.581977e+06   3.108204e+02              3
             30             13          ZnXIV      3385000.0   4.836454e+06   4.196757e+02              3
             30             14           ZnXV      3662000.0   5.232229e+06   4.540184e+02              3
             30             15          ZnXVI      3952000.0   5.646578e+06   4.899729e+02              3
             30             16         ZnXVII      4372000.0   6.246670e+06   5.420449e+02              3
             30             17        ZnXVIII      4670000.0   6.672449e+06   5.789913e+02              3
             30             18          ZnXIX      4990000.0   7.129662e+06   6.186652e+02              3
             30             19           ZnXX      5630000.0   8.044088e+06   6.980130e+02              3
             30             20          ZnXXI      5947260.0   8.497386e+06   7.373472e+02              3
             30             21         ZnXXII     14890000.0   2.127468e+07   1.846077e+03              2
             30             22        ZnXXIII     15860000.0   2.266061e+07   1.966339e+03              2
             30             23         ZnXXIV     16810000.0   2.401796e+07   2.084121e+03              2
             30             24          ZnXXV     18020000.0   2.574680e+07   2.234138e+03              2
             30             25         ZnXXVI     19040000.0   2.720416e+07   2.360598e+03              2
             30             26        ZnXXVII     20110000.0   2.873297e+07   2.493258e+03              2
             30             27       ZnXXVIII     21490000.0   3.070470e+07   2.664352e+03              2
             30             28         ZnXXIX     22450000.0   3.207634e+07   2.783373e+03              2
             30             29          ZnXXX     95696100.0   1.367296e+08   1.186450e+04              1
             30             30         ZnXXXI     99921800.0   1.427673e+08   1.238840e+04              1
