# KROME file, 17Jul2014, XRAY H rate
# Xray rate including primary and secondary H ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
           30,          30
   0.18758621E+02  -0.39655173E+01  -0.18818978E+02
   0.18758621E+02  -0.41379309E+01  -0.18818978E+02
   0.18758621E+02  -0.43103447E+01  -0.18818978E+02
   0.18758621E+02  -0.44827585E+01  -0.18818978E+02
   0.18758621E+02  -0.46551723E+01  -0.18818978E+02
   0.18758621E+02  -0.48275862E+01  -0.18818978E+02
   0.18758621E+02  -0.50000000E+01  -0.18818978E+02
 
   0.19103449E+02   0.00000000E+00  -0.18819090E+02
   0.19103449E+02  -0.17241380E+00  -0.18819054E+02
   0.19103449E+02  -0.34482759E+00  -0.18819029E+02
   0.19103449E+02  -0.51724136E+00  -0.18819013E+02
   0.19103449E+02  -0.68965518E+00  -0.18819002E+02
   0.19103449E+02  -0.86206895E+00  -0.18818995E+02
   0.19103449E+02  -0.10344827E+01  -0.18818990E+02
   0.19103449E+02  -0.12068965E+01  -0.18818987E+02
   0.19103449E+02  -0.13793104E+01  -0.18818985E+02
   0.19103449E+02  -0.15517242E+01  -0.18818983E+02
   0.19103449E+02  -0.17241379E+01  -0.18818982E+02
   0.19103449E+02  -0.18965517E+01  -0.18818981E+02
   0.19103449E+02  -0.20689654E+01  -0.18818981E+02
   0.19103449E+02  -0.22413793E+01  -0.18818981E+02
   0.19103449E+02  -0.24137931E+01  -0.18818980E+02
   0.19103449E+02  -0.25862069E+01  -0.18818980E+02
   0.19103449E+02  -0.27586207E+01  -0.18818980E+02
   0.19103449E+02  -0.29310346E+01  -0.18818980E+02
   0.19103449E+02  -0.31034484E+01  -0.18818980E+02
   0.19103449E+02  -0.32758620E+01  -0.18818980E+02
   0.19103449E+02  -0.34482758E+01  -0.18818980E+02
   0.19103449E+02  -0.36206896E+01  -0.18818980E+02
   0.19103449E+02  -0.37931035E+01  -0.18818980E+02
   0.19103449E+02  -0.39655173E+01  -0.18818980E+02
   0.19103449E+02  -0.41379309E+01  -0.18818980E+02
   0.19103449E+02  -0.43103447E+01  -0.18818980E+02
   0.19103449E+02  -0.44827585E+01  -0.18818980E+02
   0.19103449E+02  -0.46551723E+01  -0.18818980E+02
   0.19103449E+02  -0.48275862E+01  -0.18818980E+02
   0.19103449E+02  -0.50000000E+01  -0.18818980E+02
 
   0.19448277E+02   0.00000000E+00  -0.18819227E+02
   0.19448277E+02  -0.17241380E+00  -0.18819147E+02
   0.19448277E+02  -0.34482759E+00  -0.18819094E+02
   0.19448277E+02  -0.51724136E+00  -0.18819058E+02
   0.19448277E+02  -0.68965518E+00  -0.18819034E+02
   0.19448277E+02  -0.86206895E+00  -0.18819018E+02
   0.19448277E+02  -0.10344827E+01  -0.18819007E+02
   0.19448277E+02  -0.12068965E+01  -0.18818999E+02
   0.19448277E+02  -0.13793104E+01  -0.18818994E+02
   0.19448277E+02  -0.15517242E+01  -0.18818991E+02
   0.19448277E+02  -0.17241379E+01  -0.18818989E+02
   0.19448277E+02  -0.18965517E+01  -0.18818987E+02
   0.19448277E+02  -0.20689654E+01  -0.18818986E+02
   0.19448277E+02  -0.22413793E+01  -0.18818986E+02
   0.19448277E+02  -0.24137931E+01  -0.18818985E+02
   0.19448277E+02  -0.25862069E+01  -0.18818985E+02
   0.19448277E+02  -0.27586207E+01  -0.18818985E+02
   0.19448277E+02  -0.29310346E+01  -0.18818985E+02
   0.19448277E+02  -0.31034484E+01  -0.18818985E+02
   0.19448277E+02  -0.32758620E+01  -0.18818984E+02
   0.19448277E+02  -0.34482758E+01  -0.18818984E+02
   0.19448277E+02  -0.36206896E+01  -0.18818984E+02
   0.19448277E+02  -0.37931035E+01  -0.18818984E+02
   0.19448277E+02  -0.39655173E+01  -0.18818984E+02
   0.19448277E+02  -0.41379309E+01  -0.18818984E+02
   0.19448277E+02  -0.43103447E+01  -0.18818984E+02
   0.19448277E+02  -0.44827585E+01  -0.18818984E+02
   0.19448277E+02  -0.46551723E+01  -0.18818984E+02
   0.19448277E+02  -0.48275862E+01  -0.18818984E+02
   0.19448277E+02  -0.50000000E+01  -0.18818984E+02
 
   0.19793104E+02   0.00000000E+00  -0.18819530E+02
   0.19793104E+02  -0.17241380E+00  -0.18819354E+02
   0.19793104E+02  -0.34482759E+00  -0.18819236E+02
   0.19793104E+02  -0.51724136E+00  -0.18819157E+02
   0.19793104E+02  -0.68965518E+00  -0.18819104E+02
   0.19793104E+02  -0.86206895E+00  -0.18819068E+02
   0.19793104E+02  -0.10344827E+01  -0.18819044E+02
   0.19793104E+02  -0.12068965E+01  -0.18819027E+02
   0.19793104E+02  -0.13793104E+01  -0.18819016E+02
   0.19793104E+02  -0.15517242E+01  -0.18819009E+02
   0.19793104E+02  -0.17241379E+01  -0.18819004E+02
   0.19793104E+02  -0.18965517E+01  -0.18819001E+02
   0.19793104E+02  -0.20689654E+01  -0.18818999E+02
   0.19793104E+02  -0.22413793E+01  -0.18818997E+02
   0.19793104E+02  -0.24137931E+01  -0.18818996E+02
   0.19793104E+02  -0.25862069E+01  -0.18818995E+02
   0.19793104E+02  -0.27586207E+01  -0.18818995E+02
   0.19793104E+02  -0.29310346E+01  -0.18818995E+02
   0.19793104E+02  -0.31034484E+01  -0.18818994E+02
   0.19793104E+02  -0.32758620E+01  -0.18818994E+02
   0.19793104E+02  -0.34482758E+01  -0.18818994E+02
   0.19793104E+02  -0.36206896E+01  -0.18818994E+02
   0.19793104E+02  -0.37931035E+01  -0.18818994E+02
   0.19793104E+02  -0.39655173E+01  -0.18818994E+02
   0.19793104E+02  -0.41379309E+01  -0.18818994E+02
   0.19793104E+02  -0.43103447E+01  -0.18818994E+02
   0.19793104E+02  -0.44827585E+01  -0.18818994E+02
   0.19793104E+02  -0.46551723E+01  -0.18818994E+02
   0.19793104E+02  -0.48275862E+01  -0.18818994E+02
   0.19793104E+02  -0.50000000E+01  -0.18818994E+02
 
   0.20137932E+02   0.00000000E+00  -0.18820201E+02
   0.20137932E+02  -0.17241380E+00  -0.18819813E+02
   0.20137932E+02  -0.34482759E+00  -0.18819551E+02
   0.20137932E+02  -0.51724136E+00  -0.18819376E+02
   0.20137932E+02  -0.68965518E+00  -0.18819258E+02
   0.20137932E+02  -0.86206895E+00  -0.18819178E+02
   0.20137932E+02  -0.10344827E+01  -0.18819125E+02
   0.20137932E+02  -0.12068965E+01  -0.18819089E+02
   0.20137932E+02  -0.13793104E+01  -0.18819065E+02
   0.20137932E+02  -0.15517242E+01  -0.18819049E+02
   0.20137932E+02  -0.17241379E+01  -0.18819038E+02
   0.20137932E+02  -0.18965517E+01  -0.18819031E+02
   0.20137932E+02  -0.20689654E+01  -0.18819026E+02
   0.20137932E+02  -0.22413793E+01  -0.18819022E+02
   0.20137932E+02  -0.24137931E+01  -0.18819020E+02
   0.20137932E+02  -0.25862069E+01  -0.18819019E+02
   0.20137932E+02  -0.27586207E+01  -0.18819018E+02
   0.20137932E+02  -0.29310346E+01  -0.18819017E+02
   0.20137932E+02  -0.31034484E+01  -0.18819016E+02
   0.20137932E+02  -0.32758620E+01  -0.18819016E+02
   0.20137932E+02  -0.34482758E+01  -0.18819016E+02
   0.20137932E+02  -0.36206896E+01  -0.18819016E+02
   0.20137932E+02  -0.37931035E+01  -0.18819016E+02
   0.20137932E+02  -0.39655173E+01  -0.18819016E+02
   0.20137932E+02  -0.41379309E+01  -0.18819016E+02
   0.20137932E+02  -0.43103447E+01  -0.18819016E+02
   0.20137932E+02  -0.44827585E+01  -0.18819015E+02
   0.20137932E+02  -0.46551723E+01  -0.18819015E+02
   0.20137932E+02  -0.48275862E+01  -0.18819015E+02
   0.20137932E+02  -0.50000000E+01  -0.18819015E+02
 
   0.20482758E+02   0.00000000E+00  -0.18821684E+02
   0.20482758E+02  -0.17241380E+00  -0.18820826E+02
   0.20482758E+02  -0.34482759E+00  -0.18820248E+02
   0.20482758E+02  -0.51724136E+00  -0.18819860E+02
   0.20482758E+02  -0.68965518E+00  -0.18819599E+02
   0.20482758E+02  -0.86206895E+00  -0.18819423E+02
   0.20482758E+02  -0.10344827E+01  -0.18819305E+02
   0.20482758E+02  -0.12068965E+01  -0.18819226E+02
   0.20482758E+02  -0.13793104E+01  -0.18819172E+02
   0.20482758E+02  -0.15517242E+01  -0.18819136E+02
   0.20482758E+02  -0.17241379E+01  -0.18819112E+02
   0.20482758E+02  -0.18965517E+01  -0.18819096E+02
   0.20482758E+02  -0.20689654E+01  -0.18819085E+02
   0.20482758E+02  -0.22413793E+01  -0.18819078E+02
   0.20482758E+02  -0.24137931E+01  -0.18819073E+02
   0.20482758E+02  -0.25862069E+01  -0.18819070E+02
   0.20482758E+02  -0.27586207E+01  -0.18819067E+02
   0.20482758E+02  -0.29310346E+01  -0.18819066E+02
   0.20482758E+02  -0.31034484E+01  -0.18819065E+02
   0.20482758E+02  -0.32758620E+01  -0.18819064E+02
   0.20482758E+02  -0.34482758E+01  -0.18819064E+02
   0.20482758E+02  -0.36206896E+01  -0.18819063E+02
   0.20482758E+02  -0.37931035E+01  -0.18819063E+02
   0.20482758E+02  -0.39655173E+01  -0.18819063E+02
   0.20482758E+02  -0.41379309E+01  -0.18819063E+02
   0.20482758E+02  -0.43103447E+01  -0.18819063E+02
   0.20482758E+02  -0.44827585E+01  -0.18819063E+02
   0.20482758E+02  -0.46551723E+01  -0.18819063E+02
   0.20482758E+02  -0.48275862E+01  -0.18819063E+02
   0.20482758E+02  -0.50000000E+01  -0.18819063E+02
 
   0.20827587E+02   0.00000000E+00  -0.18824963E+02
   0.20827587E+02  -0.17241380E+00  -0.18823065E+02
   0.20827587E+02  -0.34482759E+00  -0.18821789E+02
   0.20827587E+02  -0.51724136E+00  -0.18820930E+02
   0.20827587E+02  -0.68965518E+00  -0.18820353E+02
   0.20827587E+02  -0.86206895E+00  -0.18819965E+02
   0.20827587E+02  -0.10344827E+01  -0.18819704E+02
   0.20827587E+02  -0.12068965E+01  -0.18819528E+02
   0.20827587E+02  -0.13793104E+01  -0.18819410E+02
   0.20827587E+02  -0.15517242E+01  -0.18819331E+02
   0.20827587E+02  -0.17241379E+01  -0.18819277E+02
   0.20827587E+02  -0.18965517E+01  -0.18819241E+02
   0.20827587E+02  -0.20689654E+01  -0.18819217E+02
   0.20827587E+02  -0.22413793E+01  -0.18819201E+02
   0.20827587E+02  -0.24137931E+01  -0.18819190E+02
   0.20827587E+02  -0.25862069E+01  -0.18819183E+02
   0.20827587E+02  -0.27586207E+01  -0.18819178E+02
   0.20827587E+02  -0.29310346E+01  -0.18819174E+02
   0.20827587E+02  -0.31034484E+01  -0.18819172E+02
   0.20827587E+02  -0.32758620E+01  -0.18819171E+02
   0.20827587E+02  -0.34482758E+01  -0.18819170E+02
