#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), H2 rate (1/s)
          30 ,          30
 -0.47586207E+001  0.31724138E+001 -0.21484983E+002
 -0.47586207E+001  0.34137931E+001 -0.21798429E+002
 -0.47586207E+001  0.36551724E+001 -0.22137433E+002
 -0.47586207E+001  0.38965517E+001 -0.22488823E+002
 -0.47586207E+001  0.41379310E+001 -0.22845920E+002
 -0.47586207E+001  0.43793103E+001 -0.23205620E+002
 -0.47586207E+001  0.46206897E+001 -0.23566524E+002
 -0.47586207E+001  0.48620690E+001 -0.23928002E+002
 -0.47586207E+001  0.51034483E+001 -0.24289762E+002
 -0.47586207E+001  0.53448276E+001 -0.24651667E+002
 -0.47586207E+001  0.55862069E+001 -0.25013646E+002
 -0.47586207E+001  0.58275862E+001 -0.25375666E+002
 -0.47586207E+001  0.60689655E+001 -0.25737708E+002
 -0.47586207E+001  0.63103448E+001 -0.26099761E+002
 -0.47586207E+001  0.65517241E+001 -0.26461822E+002
 -0.47586207E+001  0.67931034E+001 -0.26823886E+002
 -0.47586207E+001  0.70344828E+001 -0.27185952E+002
 -0.47586207E+001  0.72758621E+001 -0.27548019E+002
 -0.47586207E+001  0.75172414E+001 -0.27910087E+002
 -0.47586207E+001  0.77586207E+001 -0.28272156E+002
 -0.47586207E+001  0.80000000E+001 -0.28634224E+002
 
 -0.43448276E+001  0.10000000E+001 -0.20841387E+002
 -0.43448276E+001  0.12413793E+001 -0.20737496E+002
 -0.43448276E+001  0.14827586E+001 -0.20642661E+002
 -0.43448276E+001  0.17241379E+001 -0.20561443E+002
 -0.43448276E+001  0.19655172E+001 -0.20501499E+002
 -0.43448276E+001  0.22068966E+001 -0.20476002E+002
 -0.43448276E+001  0.24482759E+001 -0.20505300E+002
 -0.43448276E+001  0.26896552E+001 -0.20611892E+002
 -0.43448276E+001  0.29310345E+001 -0.20805085E+002
 -0.43448276E+001  0.31724138E+001 -0.21071190E+002
 -0.43448276E+001  0.34137931E+001 -0.21384636E+002
 -0.43448276E+001  0.36551724E+001 -0.21723640E+002
 -0.43448276E+001  0.38965517E+001 -0.22075030E+002
 -0.43448276E+001  0.41379310E+001 -0.22432127E+002
 -0.43448276E+001  0.43793103E+001 -0.22791826E+002
 -0.43448276E+001  0.46206897E+001 -0.23152731E+002
 -0.43448276E+001  0.48620690E+001 -0.23514209E+002
 -0.43448276E+001  0.51034483E+001 -0.23875969E+002
 -0.43448276E+001  0.53448276E+001 -0.24237874E+002
 -0.43448276E+001  0.55862069E+001 -0.24599853E+002
 -0.43448276E+001  0.58275862E+001 -0.24961873E+002
 -0.43448276E+001  0.60689655E+001 -0.25323915E+002
 -0.43448276E+001  0.63103448E+001 -0.25685968E+002
 -0.43448276E+001  0.65517241E+001 -0.26048029E+002
 -0.43448276E+001  0.67931034E+001 -0.26410093E+002
 -0.43448276E+001  0.70344828E+001 -0.26772159E+002
 -0.43448276E+001  0.72758621E+001 -0.27134226E+002
 -0.43448276E+001  0.75172414E+001 -0.27496294E+002
 -0.43448276E+001  0.77586207E+001 -0.27858363E+002
 -0.43448276E+001  0.80000000E+001 -0.28220432E+002
 
 -0.39310345E+001  0.10000000E+001 -0.20427594E+002
 -0.39310345E+001  0.12413793E+001 -0.20323703E+002
 -0.39310345E+001  0.14827586E+001 -0.20228868E+002
 -0.39310345E+001  0.17241379E+001 -0.20147650E+002
 -0.39310345E+001  0.19655172E+001 -0.20087706E+002
 -0.39310345E+001  0.22068966E+001 -0.20062208E+002
 -0.39310345E+001  0.24482759E+001 -0.20091507E+002
 -0.39310345E+001  0.26896552E+001 -0.20198099E+002
 -0.39310345E+001  0.29310345E+001 -0.20391291E+002
 -0.39310345E+001  0.31724138E+001 -0.20657396E+002
 -0.39310345E+001  0.34137931E+001 -0.20970842E+002
 -0.39310345E+001  0.36551724E+001 -0.21309847E+002
 -0.39310345E+001  0.38965517E+001 -0.21661237E+002
 -0.39310345E+001  0.41379310E+001 -0.22018334E+002
 -0.39310345E+001  0.43793103E+001 -0.22378033E+002
 -0.39310345E+001  0.46206897E+001 -0.22738937E+002
 -0.39310345E+001  0.48620690E+001 -0.23100415E+002
 -0.39310345E+001  0.51034483E+001 -0.23462176E+002
 -0.39310345E+001  0.53448276E+001 -0.23824081E+002
 -0.39310345E+001  0.55862069E+001 -0.24186060E+002
 -0.39310345E+001  0.58275862E+001 -0.24548080E+002
 -0.39310345E+001  0.60689655E+001 -0.24910122E+002
 -0.39310345E+001  0.63103448E+001 -0.25272175E+002
 -0.39310345E+001  0.65517241E+001 -0.25634235E+002
 -0.39310345E+001  0.67931034E+001 -0.25996299E+002
 -0.39310345E+001  0.70344828E+001 -0.26358366E+002
 -0.39310345E+001  0.72758621E+001 -0.26720433E+002
 -0.39310345E+001  0.75172414E+001 -0.27082501E+002
 -0.39310345E+001  0.77586207E+001 -0.27444570E+002
 -0.39310345E+001  0.80000000E+001 -0.27806640E+002
 
 -0.35172414E+001  0.10000000E+001 -0.20013801E+002
 -0.35172414E+001  0.12413793E+001 -0.19909910E+002
 -0.35172414E+001  0.14827586E+001 -0.19815075E+002
 -0.35172414E+001  0.17241379E+001 -0.19733857E+002
 -0.35172414E+001  0.19655172E+001 -0.19673913E+002
 -0.35172414E+001  0.22068966E+001 -0.19648415E+002
 -0.35172414E+001  0.24482759E+001 -0.19677714E+002
 -0.35172414E+001  0.26896552E+001 -0.19784306E+002
 -0.35172414E+001  0.29310345E+001 -0.19977498E+002
 -0.35172414E+001  0.31724138E+001 -0.20243603E+002
 -0.35172414E+001  0.34137931E+001 -0.20557049E+002
 -0.35172414E+001  0.36551724E+001 -0.20896054E+002
 -0.35172414E+001  0.38965517E+001 -0.21247444E+002
 -0.35172414E+001  0.41379310E+001 -0.21604541E+002
 -0.35172414E+001  0.43793103E+001 -0.21964240E+002
 -0.35172414E+001  0.46206897E+001 -0.22325144E+002
 -0.35172414E+001  0.48620690E+001 -0.22686622E+002
 -0.35172414E+001  0.51034483E+001 -0.23048383E+002
 -0.35172414E+001  0.53448276E+001 -0.23410288E+002
 -0.35172414E+001  0.55862069E+001 -0.23772267E+002
 -0.35172414E+001  0.58275862E+001 -0.24134287E+002
 -0.35172414E+001  0.60689655E+001 -0.24496328E+002
 -0.35172414E+001  0.63103448E+001 -0.24858382E+002
 -0.35172414E+001  0.65517241E+001 -0.25220442E+002
 -0.35172414E+001  0.67931034E+001 -0.25582506E+002
 -0.35172414E+001  0.70344828E+001 -0.25944573E+002
 -0.35172414E+001  0.72758621E+001 -0.26306640E+002
 -0.35172414E+001  0.75172414E+001 -0.26668708E+002
 -0.35172414E+001  0.77586207E+001 -0.27030779E+002
 -0.35172414E+001  0.80000000E+001 -0.27392855E+002
 
 -0.31034483E+001  0.10000000E+001 -0.19600007E+002
 -0.31034483E+001  0.12413793E+001 -0.19496117E+002
 -0.31034483E+001  0.14827586E+001 -0.19401282E+002
 -0.31034483E+001  0.17241379E+001 -0.19320064E+002
 -0.31034483E+001  0.19655172E+001 -0.19260120E+002
 -0.31034483E+001  0.22068966E+001 -0.19234622E+002
 -0.31034483E+001  0.24482759E+001 -0.19263921E+002
 -0.31034483E+001  0.26896552E+001 -0.19370513E+002
 -0.31034483E+001  0.29310345E+001 -0.19563705E+002
 -0.31034483E+001  0.31724138E+001 -0.19829810E+002
 -0.31034483E+001  0.34137931E+001 -0.20143256E+002
 -0.31034483E+001  0.36551724E+001 -0.20482261E+002
 -0.31034483E+001  0.38965517E+001 -0.20833651E+002
 -0.31034483E+001  0.41379310E+001 -0.21190748E+002
 -0.31034483E+001  0.43793103E+001 -0.21550447E+002
 -0.31034483E+001  0.46206897E+001 -0.21911351E+002
 -0.31034483E+001  0.48620690E+001 -0.22272829E+002
 -0.31034483E+001  0.51034483E+001 -0.22634590E+002
 -0.31034483E+001  0.53448276E+001 -0.22996494E+002
 -0.31034483E+001  0.55862069E+001 -0.23358474E+002
 -0.31034483E+001  0.58275862E+001 -0.23720494E+002
 -0.31034483E+001  0.60689655E+001 -0.24082535E+002
 -0.31034483E+001  0.63103448E+001 -0.24444589E+002
 -0.31034483E+001  0.65517241E+001 -0.24806649E+002
 -0.31034483E+001  0.67931034E+001 -0.25168713E+002
 -0.31034483E+001  0.70344828E+001 -0.25530780E+002
 -0.31034483E+001  0.72758621E+001 -0.25892847E+002
 -0.31034483E+001  0.75172414E+001 -0.26254918E+002
 -0.31034483E+001  0.77586207E+001 -0.26616996E+002
 -0.31034483E+001  0.80000000E+001 -0.26979104E+002
 
 -0.26896552E+001  0.10000000E+001 -0.19186214E+002
 -0.26896552E+001  0.12413793E+001 -0.19082324E+002
 -0.26896552E+001  0.14827586E+001 -0.18987489E+002
 -0.26896552E+001  0.17241379E+001 -0.18906271E+002
 -0.26896552E+001  0.19655172E+001 -0.18846327E+002
 -0.26896552E+001  0.22068966E+001 -0.18820829E+002
 -0.26896552E+001  0.24482759E+001 -0.18850128E+002
 -0.26896552E+001  0.26896552E+001 -0.18956720E+002
 -0.26896552E+001  0.29310345E+001 -0.19149912E+002
 -0.26896552E+001  0.31724138E+001 -0.19416017E+002
 -0.26896552E+001  0.34137931E+001 -0.19729463E+002
 -0.26896552E+001  0.36551724E+001 -0.20068467E+002
 -0.26896552E+001  0.38965517E+001 -0.20419857E+002
 -0.26896552E+001  0.41379310E+001 -0.20776955E+002
 -0.26896552E+001  0.43793103E+001 -0.21136654E+002
 -0.26896552E+001  0.46206897E+001 -0.21497558E+002
 -0.26896552E+001  0.48620690E+001 -0.21859036E+002
 -0.26896552E+001  0.51034483E+001 -0.22220797E+002
 -0.26896552E+001  0.53448276E+001 -0.22582701E+002
 -0.26896552E+001  0.55862069E+001 -0.22944681E+002
 -0.26896552E+001  0.58275862E+001 -0.23306701E+002
 -0.26896552E+001  0.60689655E+001 -0.23668742E+002
 -0.26896552E+001  0.63103448E+001 -0.24030796E+002
 -0.26896552E+001  0.65517241E+001 -0.24392856E+002
 -0.26896552E+001  0.67931034E+001 -0.24754920E+002
 -0.26896552E+001  0.70344828E+001 -0.25116987E+002
 -0.26896552E+001  0.72758621E+001 -0.25479057E+002
 -0.26896552E+001  0.75172414E+001 -0.25841137E+002
 -0.26896552E+001  0.77586207E+001 -0.26203253E+002
 -0.26896552E+001  0.80000000E+001 -0.26565481E+002
 
 -0.22758621E+001  0.10000000E+001 -0.18772421E+002
 -0.22758621E+001  0.12413793E+001 -0.18668531E+002
 -0.22758621E+001  0.14827586E+001 -0.18573696E+002
 -0.22758621E+001  0.17241379E+001 -0.18492477E+002
 -0.22758621E+001  0.19655172E+001 -0.18432534E+002
 -0.22758621E+001  0.22068966E+001 -0.18407036E+002
 -0.22758621E+001  0.24482759E+001 -0.18436335E+002
 -0.22758621E+001  0.26896552E+001 -0.18542926E+002
 -0.22758621E+001  0.29310345E+001 -0.18736119E+002
 -0.22758621E+001  0.31724138E+001 -0.19002224E+002
 -0.22758621E+001  0.34137931E+001 -0.19315670E+002
 -0.22758621E+001  0.36551724E+001 -0.19654674E+002
 -0.22758621E+001  0.38965517E+001 -0.20006064E+002
 -0.22758621E+001  0.41379310E+001 -0.20363162E+002
 -0.22758621E+001  0.43793103E+001 -0.20722861E+002
 -0.22758621E+001  0.46206897E+001 -0.21083765E+002
 -0.22758621E+001  0.48620690E+001 -0.21445243E+002
 -0.22758621E+001  0.51034483E+001 -0.21807004E+002
 -0.22758621E+001  0.53448276E+001 -0.22168908E+002
 -0.22758621E+001  0.55862069E+001 -0.22530888E+002
 -0.22758621E+001  0.58275862E+001 -0.22892908E+002
 -0.22758621E+001  0.60689655E+001 -0.23254949E+002
 -0.22758621E+001  0.63103448E+001 -0.23617003E+002
 -0.22758621E+001  0.65517241E+001 -0.23979063E+002
 -0.22758621E+001  0.67931034E+001 -0.24341128E+002
 -0.22758621E+001  0.70344828E+001 -0.24703197E+002
 -0.22758621E+001  0.72758621E+001 -0.25065280E+002
 -0.22758621E+001  0.75172414E+001 -0.25427405E+002
 -0.22758621E+001  0.77586207E+001 -0.25789660E+002
