# KROME file, 23Sept2014, Opacity Mayer
# Tab.E2 Mayer+2005
# first line indicates the size of the table (15x23)
# then first column is log10(rho), where rho is the density in g/cm3
# second column is log10(T), where T is the temperature in K
# third column is log10(opacity), in units of cm2/g
           15,          23
-7.00        2.00       -5.03 
-7.00        2.10       -4.92 
-7.00        2.20       -4.84 
-7.00        2.30       -4.79 
-7.00        2.40       -4.78 
-7.00        2.50       -4.80 
-7.00        2.60       -4.84 
-7.00        2.70       -4.87 
-7.00        2.80       -4.89 
-7.00        2.90       -4.85 
-7.00        3.00       -4.75 
-7.00        3.10       -4.60 
-7.00        3.20       -4.50 
-7.00        3.30       -4.43 
-7.00        3.40       -4.56 
-7.00        3.50       -4.60 
-7.00        3.60       -3.21 
-7.00        3.70       -1.63 
-7.00        3.80       -0.31 
-7.00        3.90        1.12 
-7.00        4.00        2.47 

-6.00        1.80       -4.39
-6.00        1.90       -4.18
-6.00        2.00       -4.03
-6.00        2.10       -3.92
-6.00        2.20       -3.84
-6.00        2.30       -3.79
-6.00        2.40       -3.78
-6.00        2.50       -3.80
-6.00        2.60       -3.84
-6.00        2.70       -3.87
-6.00        2.80       -3.88
-6.00        2.90       -3.85
-6.00        3.00       -3.75
-6.00        3.10       -3.60
-6.00        3.20       -3.50
-6.00        3.30       -3.43
-6.00        3.40       -3.47
-6.00        3.50       -3.69
-6.00        3.60       -2.72
-6.00        3.70       -1.14
-6.00        3.80        0.11 
-6.00        3.90        1.30 
-6.00        4.00        2.54 

-5.00        1.80       -3.39
-5.00        1.90       -3.18
-5.00        2.00       -3.03
-5.00        2.10       -2.92
-5.00        2.20       -2.84
-5.00        2.30       -2.79
-5.00        2.40       -2.78
-5.00        2.50       -2.80
-5.00        2.60       -2.84
-5.00        2.70       -2.87
-5.00        2.80       -2.88
-5.00        2.90       -2.85
-5.00        3.00       -2.75
-5.00        3.10       -2.60
-5.00        3.20       -2.50
-5.00        3.30       -2.43
-5.00        3.40       -2.44
-5.00        3.50       -2.57
-5.00        3.60       -2.23
-5.00        3.70       -0.69
-5.00        3.80        0.57
-5.00        3.90        1.61
-5.00        4.00        2.66

-4.00        1.80       -2.39
-4.00        1.90       -2.18
-4.00        2.00       -2.03
-4.00        2.10       -1.92
-4.00        2.20       -1.84
-4.00        2.30       -1.79
-4.00        2.40       -1.78
-4.00        2.50       -1.80
-4.00        2.60       -1.84
-4.00        2.70       -1.87
-4.00        2.80       -1.88
-4.00        2.90       -1.85
-4.00        3.00       -1.75
-4.00        3.10       -1.60
-4.00        3.20       -1.50
-4.00        3.30       -1.43
-4.00        3.40       -1.43
-4.00        3.50       -1.50
-4.00        3.60       -1.52
-4.00        3.70       -0.33
-4.00        3.80        1.01
-4.00        3.90        2.02
-4.00        4.00        2.89

-3.00        1.80       -1.39
-3.00        1.90       -1.18
-3.00        2.00       -1.03
-3.00        2.10       -0.92
-3.00        2.20       -0.84
-3.00        2.30       -0.79
-3.00        2.40       -0.78
-3.00        2.50       -0.80
-3.00        2.60       -0.84
-3.00        2.70       -0.87
-3.00        2.80       -0.88
-3.00        2.90       -0.85
-3.00        3.00       -0.75
-3.00        3.10       -0.60
-3.00        3.20       -0.50
-3.00        3.30       -0.43
-3.00        3.40       -0.43
-3.00        3.50       -0.47
-3.00        3.60       -0.53
-3.00        3.70        0.12 
-3.00        3.80        1.37 
-3.00        3.90        2.40 
-3.00        4.00        3.23 

-2.00        1.80       -0.39
-2.00        1.90       -0.18
-2.00        2.00       -0.03
-2.00        2.10        0.08
-2.00        2.20        0.16
-2.00        2.30        0.21
-2.00        2.40        0.22
-2.00        2.50        0.20
-2.00        2.60        0.16
-2.00        2.70        0.13
-2.00        2.80        0.12
-2.00        2.90        0.15
-2.00        3.00        0.25
-2.00        3.10        0.40
-2.00        3.20        0.50
-2.00        3.30        0.57
-2.00        3.40        0.57
-2.00        3.50        0.54
-2.00        3.60        0.49
-2.00        3.70        0.71
-2.00        3.80        1.76
-2.00        3.90        2.74
-2.00        4.00        3.54
