#This files contains the table for CO cooling
# It follows the approach by Neufeld+Kaufman 1993 (bit.ly/1vnjcXV, see eqn.5).
# The data are kindly provided by K.Omukai (Nov.2014)
# See also Omukai+2010 (bit.ly/1HIaGcn)
#The first three columns are the positions in the arrays
# the 4th is log10(Tgas/K), 5th is log10((nH2+nH)/cm-3),
# the 6th is the CO column density, i.e. log10(NCO/cm-2),
# while the last is the cooling log10(cool), with cool in erg/s/cm3

   17    2    1  0.19224048E+001 -0.15897436E+001 -0.18000000E+002 -0.23876683E+002
   18    2    1  0.20127351E+001 -0.15897436E+001 -0.18000000E+002 -0.23809592E+002
   19    2    1  0.21030653E+001 -0.15897436E+001 -0.18000000E+002 -0.23733781E+002
   20    2    1  0.21933955E+001 -0.15897436E+001 -0.18000000E+002 -0.23657975E+002
   21    2    1  0.22837257E+001 -0.15897436E+001 -0.18000000E+002 -0.23582175E+002
   22    2    1  0.23740560E+001 -0.15897436E+001 -0.18000000E+002 -0.23506380E+002
   23    2    1  0.24643862E+001 -0.15897436E+001 -0.18000000E+002 -0.23430589E+002
   24    2    1  0.25547164E+001 -0.15897436E+001 -0.18000000E+002 -0.23345263E+002
   25    2    1  0.26450466E+001 -0.15897436E+001 -0.18000000E+002 -0.23258303E+002
   26    2    1  0.27353769E+001 -0.15897436E+001 -0.18000000E+002 -0.23171291E+002
   27    2    1  0.28257071E+001 -0.15897436E+001 -0.18000000E+002 -0.23082924E+002
   28    2    1  0.29160373E+001 -0.15897436E+001 -0.18000000E+002 -0.22993368E+002
   29    2    1  0.30063675E+001 -0.15897436E+001 -0.18000000E+002 -0.22900013E+002
   30    2    1  0.30966978E+001 -0.15897436E+001 -0.18000000E+002 -0.22756625E+002
   31    2    1  0.31870280E+001 -0.15897436E+001 -0.18000000E+002 -0.22600502E+002
   32    2    1  0.32773582E+001 -0.15897436E+001 -0.18000000E+002 -0.22349255E+002
   33    2    1  0.33676884E+001 -0.15897436E+001 -0.18000000E+002 -0.22099404E+002
   34    2    1  0.34580187E+001 -0.15897436E+001 -0.18000000E+002 -0.21851762E+002
   35    2    1  0.35483489E+001 -0.15897436E+001 -0.18000000E+002 -0.21607373E+002
   36    2    1  0.36386791E+001 -0.15897436E+001 -0.18000000E+002 -0.21367393E+002
   37    2    1  0.37290093E+001 -0.15897436E+001 -0.18000000E+002 -0.21132839E+002
   38    2    1  0.38193396E+001 -0.15897436E+001 -0.18000000E+002 -0.20904238E+002
   39    2    1  0.39096698E+001 -0.15897436E+001 -0.18000000E+002 -0.20681285E+002
   40    2    1  0.40000000E+001 -0.15897436E+001 -0.18000000E+002 -0.20462685E+002
 
    1    3    1  0.47712125E+000 -0.11794872E+001 -0.18000000E+002 -0.25849725E+002
    2    3    1  0.56745148E+000 -0.11794872E+001 -0.18000000E+002 -0.25645656E+002
    3    3    1  0.65778170E+000 -0.11794872E+001 -0.18000000E+002 -0.25441592E+002
    4    3    1  0.74811193E+000 -0.11794872E+001 -0.18000000E+002 -0.25237553E+002
    5    3    1  0.83844215E+000 -0.11794872E+001 -0.18000000E+002 -0.25061156E+002
    6    3    1  0.92877238E+000 -0.11794872E+001 -0.18000000E+002 -0.24898384E+002
    7    3    1  0.10191026E+001 -0.11794872E+001 -0.18000000E+002 -0.24745240E+002
    8    3    1  0.11094328E+001 -0.11794872E+001 -0.18000000E+002 -0.24628258E+002
    9    3    1  0.11997630E+001 -0.11794872E+001 -0.18000000E+002 -0.24511315E+002
   10    3    1  0.12900933E+001 -0.11794872E+001 -0.18000000E+002 -0.24394430E+002
   11    3    1  0.13804235E+001 -0.11794872E+001 -0.18000000E+002 -0.24304184E+002
   12    3    1  0.14707537E+001 -0.11794872E+001 -0.18000000E+002 -0.24217645E+002
   13    3    1  0.15610839E+001 -0.11794872E+001 -0.18000000E+002 -0.24142976E+002
   14    3    1  0.16514142E+001 -0.11794872E+001 -0.18000000E+002 -0.24069252E+002
   15    3    1  0.17417444E+001 -0.11794872E+001 -0.18000000E+002 -0.24001272E+002
   16    3    1  0.18320746E+001 -0.11794872E+001 -0.18000000E+002 -0.23939597E+002
   17    3    1  0.19224048E+001 -0.11794872E+001 -0.18000000E+002 -0.23877047E+002
   18    3    1  0.20127351E+001 -0.11794872E+001 -0.18000000E+002 -0.23809734E+002
   19    3    1  0.21030653E+001 -0.11794872E+001 -0.18000000E+002 -0.23733890E+002
   20    3    1  0.21933955E+001 -0.11794872E+001 -0.18000000E+002 -0.23658057E+002
   21    3    1  0.22837257E+001 -0.11794872E+001 -0.18000000E+002 -0.23582232E+002
   22    3    1  0.23740560E+001 -0.11794872E+001 -0.18000000E+002 -0.23506415E+002
   23    3    1  0.24643862E+001 -0.11794872E+001 -0.18000000E+002 -0.23430605E+002
   24    3    1  0.25547164E+001 -0.11794872E+001 -0.18000000E+002 -0.23345333E+002
   25    3    1  0.26450466E+001 -0.11794872E+001 -0.18000000E+002 -0.23258405E+002
   26    3    1  0.27353769E+001 -0.11794872E+001 -0.18000000E+002 -0.23171405E+002
   27    3    1  0.28257071E+001 -0.11794872E+001 -0.18000000E+002 -0.23083029E+002
   28    3    1  0.29160373E+001 -0.11794872E+001 -0.18000000E+002 -0.22993457E+002
   29    3    1  0.30063675E+001 -0.11794872E+001 -0.18000000E+002 -0.22900094E+002
   30    3    1  0.30966978E+001 -0.11794872E+001 -0.18000000E+002 -0.22756843E+002
   31    3    1  0.31870280E+001 -0.11794872E+001 -0.18000000E+002 -0.22601044E+002
   32    3    1  0.32773582E+001 -0.11794872E+001 -0.18000000E+002 -0.22350361E+002
   33    3    1  0.33676884E+001 -0.11794872E+001 -0.18000000E+002 -0.22101431E+002
   34    3    1  0.34580187E+001 -0.11794872E+001 -0.18000000E+002 -0.21855184E+002
   35    3    1  0.35483489E+001 -0.11794872E+001 -0.18000000E+002 -0.21612737E+002
   36    3    1  0.36386791E+001 -0.11794872E+001 -0.18000000E+002 -0.21375217E+002
   37    3    1  0.37290093E+001 -0.11794872E+001 -0.18000000E+002 -0.21143454E+002
   38    3    1  0.38193396E+001 -0.11794872E+001 -0.18000000E+002 -0.20917614E+002
   39    3    1  0.39096698E+001 -0.11794872E+001 -0.18000000E+002 -0.20696929E+002
   40    3    1  0.40000000E+001 -0.11794872E+001 -0.18000000E+002 -0.20479654E+002
 
    1    4    1  0.47712125E+000 -0.76923077E+000 -0.18000000E+002 -0.25849724E+002
    2    4    1  0.56745148E+000 -0.76923077E+000 -0.18000000E+002 -0.25645654E+002
    3    4    1  0.65778170E+000 -0.76923077E+000 -0.18000000E+002 -0.25441596E+002
    4    4    1  0.74811193E+000 -0.76923077E+000 -0.18000000E+002 -0.25237586E+002
    5    4    1  0.83844215E+000 -0.76923077E+000 -0.18000000E+002 -0.25061212E+002
    6    4    1  0.92877238E+000 -0.76923077E+000 -0.18000000E+002 -0.24898424E+002
    7    4    1  0.10191026E+001 -0.76923077E+000 -0.18000000E+002 -0.24745242E+002
    8    4    1  0.11094328E+001 -0.76923077E+000 -0.18000000E+002 -0.24628301E+002
    9    4    1  0.11997630E+001 -0.76923077E+000 -0.18000000E+002 -0.24511421E+002
   10    4    1  0.12900933E+001 -0.76923077E+000 -0.18000000E+002 -0.24394627E+002
   11    4    1  0.13804235E+001 -0.76923077E+000 -0.18000000E+002 -0.24304701E+002
   12    4    1  0.14707537E+001 -0.76923077E+000 -0.18000000E+002 -0.24218483E+002
   13    4    1  0.15610839E+001 -0.76923077E+000 -0.18000000E+002 -0.24143590E+002
   14    4    1  0.16514142E+001 -0.76923077E+000 -0.18000000E+002 -0.24069624E+002
   15    4    1  0.17417444E+001 -0.76923077E+000 -0.18000000E+002 -0.24001611E+002
   16    4    1  0.18320746E+001 -0.76923077E+000 -0.18000000E+002 -0.23940099E+002
   17    4    1  0.19224048E+001 -0.76923077E+000 -0.18000000E+002 -0.23877596E+002
   18    4    1  0.20127351E+001 -0.76923077E+000 -0.18000000E+002 -0.23809939E+002
   19    4    1  0.21030653E+001 -0.76923077E+000 -0.18000000E+002 -0.23734049E+002
   20    4    1  0.21933955E+001 -0.76923077E+000 -0.18000000E+002 -0.23658175E+002
   21    4    1  0.22837257E+001 -0.76923077E+000 -0.18000000E+002 -0.23582314E+002
   22    4    1  0.23740560E+001 -0.76923077E+000 -0.18000000E+002 -0.23506465E+002
   23    4    1  0.24643862E+001 -0.76923077E+000 -0.18000000E+002 -0.23430627E+002
   24    4    1  0.25547164E+001 -0.76923077E+000 -0.18000000E+002 -0.23345434E+002
   25    4    1  0.26450466E+001 -0.76923077E+000 -0.18000000E+002 -0.23258556E+002
   26    4    1  0.27353769E+001 -0.76923077E+000 -0.18000000E+002 -0.23171576E+002
   27    4    1  0.28257071E+001 -0.76923077E+000 -0.18000000E+002 -0.23083189E+002
   28    4    1  0.29160373E+001 -0.76923077E+000 -0.18000000E+002 -0.22993594E+002
   29    4    1  0.30063675E+001 -0.76923077E+000 -0.18000000E+002 -0.22900220E+002
   30    4    1  0.30966978E+001 -0.76923077E+000 -0.18000000E+002 -0.22757164E+002
   31    4    1  0.31870280E+001 -0.76923077E+000 -0.18000000E+002 -0.22601797E+002
   32    4    1  0.32773582E+001 -0.76923077E+000 -0.18000000E+002 -0.22351864E+002
   33    4    1  0.33676884E+001 -0.76923077E+000 -0.18000000E+002 -0.22104121E+002
   34    4    1  0.34580187E+001 -0.76923077E+000 -0.18000000E+002 -0.21859611E+002
