#table for dust averaged temperature
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.47586207E+001  0.41379310E+001  0.10595578E+001
 -0.47586207E+001  0.43793103E+001  0.10595579E+001
 -0.47586207E+001  0.46206897E+001  0.10595582E+001
 -0.47586207E+001  0.48620690E+001  0.10595590E+001
 -0.47586207E+001  0.51034483E+001  0.10595606E+001
 -0.47586207E+001  0.53448276E+001  0.10595645E+001
 -0.47586207E+001  0.55862069E+001  0.10595734E+001
 -0.47586207E+001  0.58275862E+001  0.10595938E+001
 -0.47586207E+001  0.60689655E+001  0.10596408E+001
 -0.47586207E+001  0.63103448E+001  0.10597488E+001
 -0.47586207E+001  0.65517241E+001  0.10599969E+001
 -0.47586207E+001  0.67931034E+001  0.10605644E+001
 -0.47586207E+001  0.70344828E+001  0.10618528E+001
 -0.47586207E+001  0.72758621E+001  0.10647284E+001
 -0.47586207E+001  0.75172414E+001  0.10709186E+001
 -0.47586207E+001  0.77586207E+001  0.10833451E+001
 -0.47586207E+001  0.80000000E+001  0.11055679E+001
 
 -0.43448276E+001  0.10000000E+001  0.10595577E+001
 -0.43448276E+001  0.12413793E+001  0.10595577E+001
 -0.43448276E+001  0.14827586E+001  0.10595577E+001
 -0.43448276E+001  0.17241379E+001  0.10595577E+001
 -0.43448276E+001  0.19655172E+001  0.10595577E+001
 -0.43448276E+001  0.22068966E+001  0.10595577E+001
 -0.43448276E+001  0.24482759E+001  0.10595577E+001
 -0.43448276E+001  0.26896552E+001  0.10595577E+001
 -0.43448276E+001  0.29310345E+001  0.10595577E+001
 -0.43448276E+001  0.31724138E+001  0.10595577E+001
 -0.43448276E+001  0.34137931E+001  0.10595577E+001
 -0.43448276E+001  0.36551724E+001  0.10595577E+001
 -0.43448276E+001  0.38965517E+001  0.10595578E+001
 -0.43448276E+001  0.41379310E+001  0.10595579E+001
 -0.43448276E+001  0.43793103E+001  0.10595583E+001
 -0.43448276E+001  0.46206897E+001  0.10595591E+001
 -0.43448276E+001  0.48620690E+001  0.10595610E+001
 -0.43448276E+001  0.51034483E+001  0.10595653E+001
 -0.43448276E+001  0.53448276E+001  0.10595753E+001
 -0.43448276E+001  0.55862069E+001  0.10595984E+001
 -0.43448276E+001  0.58275862E+001  0.10596513E+001
 -0.43448276E+001  0.60689655E+001  0.10597730E+001
 -0.43448276E+001  0.63103448E+001  0.10600522E+001
 -0.43448276E+001  0.65517241E+001  0.10606906E+001
 -0.43448276E+001  0.67931034E+001  0.10621376E+001
 -0.43448276E+001  0.70344828E+001  0.10653551E+001
 -0.43448276E+001  0.72758621E+001  0.10722294E+001
 -0.43448276E+001  0.75172414E+001  0.10858426E+001
 -0.43448276E+001  0.77586207E+001  0.11097030E+001
 -0.43448276E+001  0.80000000E+001  0.11455046E+001
 
 -0.39310345E+001  0.10000000E+001  0.10595577E+001
 -0.39310345E+001  0.12413793E+001  0.10595577E+001
 -0.39310345E+001  0.14827586E+001  0.10595577E+001
 -0.39310345E+001  0.17241379E+001  0.10595577E+001
 -0.39310345E+001  0.19655172E+001  0.10595577E+001
 -0.39310345E+001  0.22068966E+001  0.10595577E+001
 -0.39310345E+001  0.24482759E+001  0.10595577E+001
 -0.39310345E+001  0.26896552E+001  0.10595577E+001
 -0.39310345E+001  0.29310345E+001  0.10595577E+001
 -0.39310345E+001  0.31724138E+001  0.10595577E+001
 -0.39310345E+001  0.34137931E+001  0.10595577E+001
 -0.39310345E+001  0.36551724E+001  0.10595578E+001
 -0.39310345E+001  0.38965517E+001  0.10595580E+001
 -0.39310345E+001  0.41379310E+001  0.10595584E+001
 -0.39310345E+001  0.43793103E+001  0.10595593E+001
 -0.39310345E+001  0.46206897E+001  0.10595614E+001
 -0.39310345E+001  0.48620690E+001  0.10595663E+001
 -0.39310345E+001  0.51034483E+001  0.10595776E+001
 -0.39310345E+001  0.53448276E+001  0.10596035E+001
 -0.39310345E+001  0.55862069E+001  0.10596631E+001
 -0.39310345E+001  0.58275862E+001  0.10598001E+001
 -0.39310345E+001  0.60689655E+001  0.10601145E+001
 -0.39310345E+001  0.63103448E+001  0.10608326E+001
 -0.39310345E+001  0.65517241E+001  0.10624570E+001
 -0.39310345E+001  0.67931034E+001  0.10660543E+001
 -0.39310345E+001  0.70344828E+001  0.10736766E+001
 -0.39310345E+001  0.72758621E+001  0.10885525E+001
 -0.39310345E+001  0.75172414E+001  0.11140881E+001
 -0.39310345E+001  0.77586207E+001  0.11515375E+001
 -0.39310345E+001  0.80000000E+001  0.11989226E+001
 
 -0.35172414E+001  0.10000000E+001  0.10595577E+001
 -0.35172414E+001  0.12413793E+001  0.10595577E+001
 -0.35172414E+001  0.14827586E+001  0.10595577E+001
 -0.35172414E+001  0.17241379E+001  0.10595577E+001
 -0.35172414E+001  0.19655172E+001  0.10595577E+001
 -0.35172414E+001  0.22068966E+001  0.10595577E+001
 -0.35172414E+001  0.24482759E+001  0.10595577E+001
 -0.35172414E+001  0.26896552E+001  0.10595577E+001
 -0.35172414E+001  0.29310345E+001  0.10595577E+001
 -0.35172414E+001  0.31724138E+001  0.10595577E+001
 -0.35172414E+001  0.34137931E+001  0.10595578E+001
 -0.35172414E+001  0.36551724E+001  0.10595580E+001
 -0.35172414E+001  0.38965517E+001  0.10595585E+001
 -0.35172414E+001  0.41379310E+001  0.10595595E+001
 -0.35172414E+001  0.43793103E+001  0.10595619E+001
 -0.35172414E+001  0.46206897E+001  0.10595674E+001
 -0.35172414E+001  0.48620690E+001  0.10595801E+001
 -0.35172414E+001  0.51034483E+001  0.10596093E+001
 -0.35172414E+001  0.53448276E+001  0.10596764E+001
 -0.35172414E+001  0.55862069E+001  0.10598307E+001
 -0.35172414E+001  0.58275862E+001  0.10601846E+001
 -0.35172414E+001  0.60689655E+001  0.10609921E+001
 -0.35172414E+001  0.63103448E+001  0.10628150E+001
 -0.35172414E+001  0.65517241E+001  0.10668333E+001
 -0.35172414E+001  0.67931034E+001  0.10752710E+001
 -0.35172414E+001  0.70344828E+001  0.10914838E+001
 -0.35172414E+001  0.72758621E+001  0.11187226E+001
 -0.35172414E+001  0.75172414E+001  0.11577757E+001
 -0.35172414E+001  0.77586207E+001  0.12062987E+001
 -0.35172414E+001  0.80000000E+001  0.12607846E+001
 
 -0.31034483E+001  0.10000000E+001  0.10595577E+001
 -0.31034483E+001  0.12413793E+001  0.10595577E+001
 -0.31034483E+001  0.14827586E+001  0.10595577E+001
 -0.31034483E+001  0.17241379E+001  0.10595577E+001
 -0.31034483E+001  0.19655172E+001  0.10595577E+001
 -0.31034483E+001  0.22068966E+001  0.10595577E+001
 -0.31034483E+001  0.24482759E+001  0.10595577E+001
 -0.31034483E+001  0.26896552E+001  0.10595577E+001
 -0.31034483E+001  0.29310345E+001  0.10595577E+001
 -0.31034483E+001  0.31724138E+001  0.10595578E+001
 -0.31034483E+001  0.34137931E+001  0.10595581E+001
 -0.31034483E+001  0.36551724E+001  0.10595586E+001
 -0.31034483E+001  0.38965517E+001  0.10595597E+001
 -0.31034483E+001  0.41379310E+001  0.10595624E+001
 -0.31034483E+001  0.43793103E+001  0.10595686E+001
 -0.31034483E+001  0.46206897E+001  0.10595829E+001
 -0.31034483E+001  0.48620690E+001  0.10596158E+001
 -0.31034483E+001  0.51034483E+001  0.10596914E+001
 -0.31034483E+001  0.53448276E+001  0.10598652E+001
 -0.31034483E+001  0.55862069E+001  0.10602635E+001
 -0.31034483E+001  0.58275862E+001  0.10611714E+001
 -0.31034483E+001  0.60689655E+001  0.10632160E+001
 -0.31034483E+001  0.63103448E+001  0.10677004E+001
 -0.31034483E+001  0.65517241E+001  0.10770238E+001
 -0.31034483E+001  0.67931034E+001  0.10946447E+001
 -0.31034483E+001  0.70344828E+001  0.11236042E+001
 -0.31034483E+001  0.72758621E+001  0.11642089E+001
 -0.31034483E+001  0.75172414E+001  0.12137949E+001
 -0.31034483E+001  0.77586207E+001  0.12688782E+001
 -0.31034483E+001  0.80000000E+001  0.13268601E+001
 
 -0.26896552E+001  0.10000000E+001  0.10595577E+001
 -0.26896552E+001  0.12413793E+001  0.10595577E+001
 -0.26896552E+001  0.14827586E+001  0.10595577E+001
 -0.26896552E+001  0.17241379E+001  0.10595577E+001
 -0.26896552E+001  0.19655172E+001  0.10595577E+001
 -0.26896552E+001  0.22068966E+001  0.10595577E+001
 -0.26896552E+001  0.24482759E+001  0.10595577E+001
 -0.26896552E+001  0.26896552E+001  0.10595577E+001
 -0.26896552E+001  0.29310345E+001  0.10595579E+001
 -0.26896552E+001  0.31724138E+001  0.10595581E+001
 -0.26896552E+001  0.34137931E+001  0.10595587E+001
 -0.26896552E+001  0.36551724E+001  0.10595600E+001
 -0.26896552E+001  0.38965517E+001  0.10595630E+001
 -0.26896552E+001  0.41379310E+001  0.10595700E+001
 -0.26896552E+001  0.43793103E+001  0.10595861E+001
 -0.26896552E+001  0.46206897E+001  0.10596232E+001
 -0.26896552E+001  0.48620690E+001  0.10597083E+001
 -0.26896552E+001  0.51034483E+001  0.10599040E+001
 -0.26896552E+001  0.53448276E+001  0.10603522E+001
 -0.26896552E+001  0.55862069E+001  0.10613727E+001
 -0.26896552E+001  0.58275862E+001  0.10636649E+001
 -0.26896552E+001  0.60689655E+001  0.10686640E+001
