  0.10000000E-001  0.11593341E+003
  0.10473709E-001  0.11588290E+003
  0.10969858E-001  0.11583001E+003
  0.11489510E-001  0.11577465E+003
  0.12033778E-001  0.11571669E+003
  0.12603829E-001  0.11565602E+003
  0.13200884E-001  0.11559251E+003
  0.13826222E-001  0.11552603E+003
  0.14481182E-001  0.11545644E+003
  0.15167169E-001  0.11538360E+003
  0.15885651E-001  0.11530735E+003
  0.16638169E-001  0.11522755E+003
  0.17426334E-001  0.11514403E+003
  0.18251835E-001  0.11505661E+003
  0.19116441E-001  0.11496513E+003
  0.20022004E-001  0.11486939E+003
  0.20970464E-001  0.11476920E+003
  0.21963854E-001  0.11466436E+003
  0.23004301E-001  0.11455465E+003
  0.24094036E-001  0.11443986E+003
  0.25235392E-001  0.11431976E+003
  0.26430815E-001  0.11419410E+003
  0.27682866E-001  0.11406264E+003
  0.28994229E-001  0.11392511E+003
  0.30367711E-001  0.11378124E+003
  0.31806257E-001  0.11363076E+003
  0.33312948E-001  0.11347336E+003
  0.34891012E-001  0.11330873E+003
  0.36543831E-001  0.11313657E+003
  0.38274945E-001  0.11295653E+003
  0.40088063E-001  0.11276827E+003
  0.41987071E-001  0.11257142E+003
  0.43976036E-001  0.11236562E+003
  0.46059220E-001  0.11215048E+003
  0.48241087E-001  0.11192558E+003
  0.50526311E-001  0.11169051E+003
  0.52919787E-001  0.11144484E+003
  0.55426645E-001  0.11118811E+003
  0.58052255E-001  0.11091986E+003
  0.60802243E-001  0.11063958E+003
  0.63682499E-001  0.11034680E+003
  0.66699197E-001  0.11004097E+003
  0.69858797E-001  0.10972156E+003
  0.73168071E-001  0.10938802E+003
  0.76634109E-001  0.10903976E+003
  0.80264335E-001  0.10867620E+003
  0.84066529E-001  0.10829671E+003
  0.88048836E-001  0.10790067E+003
  0.92219788E-001  0.10748742E+003
  0.96588322E-001  0.10705629E+003
  0.10116380E+000  0.10660659E+003
  0.10595602E+000  0.10613761E+003
  0.11097525E+000  0.10564863E+003
  0.11623225E+000  0.10513890E+003
  0.12173827E+000  0.10460766E+003
  0.12750512E+000  0.10405413E+003
  0.13354516E+000  0.10347753E+003
  0.13987131E+000  0.10287703E+003
  0.14649714E+000  0.10225182E+003
  0.15343684E+000  0.10160107E+003
  0.16070528E+000  0.10092394E+003
  0.16831804E+000  0.10021956E+003
  0.17629141E+000  0.99487090E+002
  0.18464249E+000  0.98725660E+002
  0.19338918E+000  0.97934408E+002
  0.20255019E+000  0.97112472E+002
  0.21214518E+000  0.96258995E+002
  0.22219469E+000  0.95373129E+002
  0.23272025E+000  0.94454039E+002
  0.24374442E+000  0.93500906E+002
  0.25529081E+000  0.92512933E+002
  0.26738416E+000  0.91489349E+002
  0.28005039E+000  0.90429418E+002
  0.29331663E+000  0.89332440E+002
  0.30721130E+000  0.88197762E+002
  0.32176418E+000  0.87024784E+002
  0.33700643E+000  0.85812962E+002
  0.35297073E+000  0.84561824E+002
  0.36969127E+000  0.83270973E+002
  0.38720388E+000  0.81940094E+002
  0.40554607E+000  0.80568971E+002
  0.42475716E+000  0.79157489E+002
  0.44487828E+000  0.77705650E+002
  0.46595257E+000  0.76213577E+002
  0.48802516E+000  0.74681533E+002
  0.51114335E+000  0.73109923E+002
  0.53535667E+000  0.71499314E+002
  0.56071699E+000  0.69850438E+002
  0.58727866E+000  0.68164208E+002
  0.61509858E+000  0.66441728E+002
  0.64423635E+000  0.64684302E+002
  0.67475441E+000  0.62893444E+002
  0.70671813E+000  0.61070889E+002
  0.74019600E+000  0.59218599E+002
  0.77525975E+000  0.57338771E+002
  0.81198450E+000  0.55433841E+002
  0.85044893E+000  0.53506491E+002
  0.89073546E+000  0.51559649E+002
  0.93293040E+000  0.49596488E+002
  0.97712415E+000  0.47620425E+002
  0.10234114E+001  0.45635116E+002
  0.10718913E+001  0.43644443E+002
  0.11226678E+001  0.41652510E+002
  0.11758496E+001  0.39663620E+002
  0.12315506E+001  0.37682260E+002
  0.12898903E+001  0.35713078E+002
  0.13509935E+001  0.33760853E+002
  0.14149913E+001  0.31830470E+002
  0.14820207E+001  0.29926876E+002
  0.15522254E+001  0.28055050E+002
  0.16257557E+001  0.26219955E+002
  0.17027692E+001  0.24426494E+002
  0.17834309E+001  0.22679458E+002
  0.18679136E+001  0.20983480E+002
  0.19563983E+001  0.19342979E+002
  0.20490747E+001  0.17762105E+002
  0.21461412E+001  0.16244690E+002
